日期,编码,地区,流量,月份,天,小时
201907221830,856,铜仁,123435.04,07,22,18
201907221845,856,铜仁,121512.10,07,22,18
201907231015,856,铜仁,105684.53,07,23,10
201907231240,856,铜仁,139787.40,07,23,12
201907231515,856,铜仁,125453.24,07,23,15
201907231850,856,铜仁,123846.56,07,23,18
201907232150,856,铜仁,168685.53,07,23,21
201907241850,856,铜仁,122995.95,07,24,18
201907251000,856,铜仁,113445.30,07,25,10
201907251115,856,铜仁,131412.75,07,25,11
201907251505,856,铜仁,133976.15,07,25,15
201907251555,856,铜仁,134606.44,07,25,15
201907252035,856,铜仁,160523.40,07,25,20
201907252155,856,铜仁,176214.31,07,25,21
201907261605,856,铜仁,132725.23,07,26,16
201907261615,856,铜仁,137286.37,07,26,16
201907261755,856,铜仁,133100.03,07,26,17
201907271105,856,铜仁,124487.11,07,27,11
201907271305,856,铜仁,152948.49,07,27,13
201907271315,856,铜仁,152250.22,07,27,13
201907272000,856,铜仁,139140.16,07,27,20
201907272055,856,铜仁,163729.64,07,27,20
201907272255,856,铜仁,172415.10,07,27,22
201907280950,856,铜仁,122798.07,07,28,09
201907281810,856,铜仁,125590.94,07,28,18
201907281935,856,铜仁,122021.36,07,28,19
201907282000,856,铜仁,135042.53,07,28,20
201907282005,856,铜仁,135404.79,07,28,20
201907282015,856,铜仁,146041.06,07,28,20
201907282025,856,铜仁,145660.39,07,28,20
201907282040,856,铜仁,155227.42,07,28,20
201907282110,856,铜仁,163023.98,07,28,21
201907282305,856,铜仁,149523.33,07,28,23
201907291255,856,铜仁,150196.02,07,29,12
201907291530,856,铜仁,115436.97,07,29,15
201907291540,856,铜仁,111339.88,07,29,15
201907291630,856,铜仁,116329.82,07,29,16
201907291710,856,铜仁,111308.10,07,29,17
201907291815,856,铜仁,108717.70,07,29,18
201907292000,856,铜仁,125631.76,07,29,20
201907292115,856,铜仁,149925.57,07,29,21
201907300910,856,铜仁,99047.33,07,30,09
201907301150,856,铜仁,131053.35,07,30,11
201907301640,856,铜仁,125629.92,07,30,16
201907301725,856,铜仁,115050.68,07,30,17
201907302000,856,铜仁,128677.27,07,30,20
201907302320,856,铜仁,114182.00,07,30,23
201907310920,856,铜仁,105416.61,07,31,09
201907311225,856,铜仁,157713.74,07,31,12
201907311315,856,铜仁,135883.55,07,31,13
201907311600,856,铜仁,121213.09,07,31,16
201907312110,856,铜仁,159707.93,07,31,21
201908011030,856,铜仁,123116.96,08,01,10
201908011245,856,铜仁,157171.36,08,01,12
201908011805,856,铜仁,133781.26,08,01,18
201908011825,856,铜仁,127126.21,08,01,18
201908011940,856,铜仁,148680.03,08,01,19
201908012015,856,铜仁,161860.11,08,01,20
201908012150,856,铜仁,188739.48,08,01,21
201908012205,856,铜仁,186455.31,08,01,22
