日期,编码,地区,流量,月份,天,小时
201907221830,859,黔西南,167485.36,07,22,18
201907221845,859,黔西南,162561.51,07,22,18
201907231015,859,黔西南,119628.91,07,23,10
201907231240,859,黔西南,192185.90,07,23,12
201907231515,859,黔西南,171771.90,07,23,15
201907231850,859,黔西南,184146.57,07,23,18
201907232150,859,黔西南,275315.78,07,23,21
201907241850,859,黔西南,198437.74,07,24,18
201907251000,859,黔西南,140508.90,07,25,10
201907251115,859,黔西南,167742.06,07,25,11
201907251505,859,黔西南,180148.46,07,25,15
201907251555,859,黔西南,179265.86,07,25,15
201907252035,859,黔西南,209077.93,07,25,20
201907252155,859,黔西南,261880.22,07,25,21
201907261605,859,黔西南,182733.39,07,26,16
201907261615,859,黔西南,177232.51,07,26,16
201907261755,859,黔西南,181912.41,07,26,17
201907271105,859,黔西南,168010.41,07,27,11
201907271305,859,黔西南,203941.28,07,27,13
201907271315,859,黔西南,201704.74,07,27,13
201907272000,859,黔西南,180916.84,07,27,20
201907272055,859,黔西南,227046.44,07,27,20
201907272255,859,黔西南,246438.45,07,27,22
201907280950,859,黔西南,148593.82,07,28,09
201907281810,859,黔西南,173974.10,07,28,18
201907281935,859,黔西南,182938.82,07,28,19
201907282000,859,黔西南,175661.21,07,28,20
201907282005,859,黔西南,185015.33,07,28,20
201907282015,859,黔西南,184354.17,07,28,20
201907282025,859,黔西南,197441.99,07,28,20
201907282040,859,黔西南,214966.20,07,28,20
201907282110,859,黔西南,235627.50,07,28,21
201907282305,859,黔西南,233901.21,07,28,23
201907291255,859,黔西南,202371.34,07,29,12
201907291530,859,黔西南,177712.25,07,29,15
201907291540,859,黔西南,175574.02,07,29,15
201907291630,859,黔西南,170111.10,07,29,16
201907291710,859,黔西南,184150.48,07,29,17
201907291815,859,黔西南,169868.05,07,29,18
201907292000,859,黔西南,193375.17,07,29,20
201907292115,859,黔西南,249301.71,07,29,21
201907300910,859,黔西南,135988.93,07,30,09
201907301150,859,黔西南,179405.23,07,30,11
201907301640,859,黔西南,182061.11,07,30,16
201907301725,859,黔西南,175202.01,07,30,17
201907302000,859,黔西南,183039.10,07,30,20
201907302320,859,黔西南,199148.87,07,30,23
201907310920,859,黔西南,132570.04,07,31,09
201907311225,859,黔西南,194870.20,07,31,12
201907311315,859,黔西南,207535.66,07,31,13
201907311600,859,黔西南,177642.24,07,31,16
201907312110,859,黔西南,238681.07,07,31,21
201908011030,859,黔西南,175382.29,08,01,10
201908011245,859,黔西南,225273.56,08,01,12
201908011805,859,黔西南,216096.88,08,01,18
201908011825,859,黔西南,214265.97,08,01,18
201908011940,859,黔西南,240478.17,08,01,19
201908012015,859,黔西南,269904.76,08,01,20
201908012150,859,黔西南,313014.54,08,01,21
201908012205,859,黔西南,299862.78,08,01,22
201908012300,859,黔西南,267912.60,08,01,23
201908021100,859,黔西南,174756.25,08,02,11
201908021115,859,黔西南,183865.78,08,02,11
201908021140,859,黔西南,194214.94,08,02,11
201908021225,859,黔西南,197763.61,08,02,12
201908021230,859,黔西南,211282.81,08,02,12
