日期,编码,地区,流量,月份,天,小时
201907221830,852,遵义,139697.70,07,22,18
201907221845,852,遵义,137708.30,07,22,18
201907231015,852,遵义,115368.63,07,23,10
201907231240,852,遵义,164021.32,07,23,12
201907231515,852,遵义,147455.99,07,23,15
201907231850,852,遵义,163825.53,07,23,18
201907232150,852,遵义,194896.54,07,23,21
201907241850,852,遵义,151381.69,07,24,18
201907251000,852,遵义,133295.29,07,25,10
201907251115,852,遵义,151422.21,07,25,11
201907251505,852,遵义,156966.70,07,25,15
201907251555,852,遵义,147065.48,07,25,15
201907252035,852,遵义,178415.16,07,25,20
201907252155,852,遵义,200446.47,07,25,21
201907261605,852,遵义,444183.11,07,26,16
201907261615,852,遵义,451532.81,07,26,16
201907261755,852,遵义,419816.52,07,26,17
201907271105,852,遵义,425762.61,07,27,11
201907271305,852,遵义,470824.09,07,27,13
201907271315,852,遵义,477035.83,07,27,13
201907272000,852,遵义,473415.81,07,27,20
201907272055,852,遵义,551909.64,07,27,20
201907272255,852,遵义,556396.76,07,27,22
201907280950,852,遵义,384259.23,07,28,09
201907281810,852,遵义,424554.66,07,28,18
201907281935,852,遵义,388414.63,07,28,19
201907282000,852,遵义,422654.53,07,28,20
201907282005,852,遵义,429686.61,07,28,20
201907282015,852,遵义,441252.07,07,28,20
201907282025,852,遵义,452895.63,07,28,20
201907282040,852,遵义,486682.71,07,28,20
201907282110,852,遵义,515216.43,07,28,21
201907282305,852,遵义,477556.63,07,28,23
201907291255,852,遵义,471718.80,07,29,12
201907291530,852,遵义,345985.25,07,29,15
201907291540,852,遵义,349967.82,07,29,15
201907291630,852,遵义,368108.20,07,29,16
201907291710,852,遵义,368227.46,07,29,17
201907291815,852,遵义,370329.23,07,29,18
201907292000,852,遵义,412420.97,07,29,20
201907292115,852,遵义,509661.43,07,29,21
201907300910,852,遵义,315277.77,07,30,09
201907301150,852,遵义,412983.36,07,30,11
201907301640,852,遵义,392772.69,07,30,16
201907301725,852,遵义,338980.21,07,30,17
201907302000,852,遵义,424379.98,07,30,20
201907302320,852,遵义,345194.42,07,30,23
201907310920,852,遵义,304360.49,07,31,09
201907311225,852,遵义,444958.59,07,31,12
201907311315,852,遵义,413932.24,07,31,13
201907311600,852,遵义,382093.25,07,31,16
201907312110,852,遵义,491339.69,07,31,21
201908011030,852,遵义,405135.39,08,01,10
201908011245,852,遵义,481704.55,08,01,12
201908011805,852,遵义,453775.88,08,01,18
201908011825,852,遵义,435292.20,08,01,18
201908011940,852,遵义,444691.74,08,01,19
201908012015,852,遵义,502623.85,08,01,20
201908012150,852,遵义,597073.32,08,01,21
201908012205,852,遵义,604995.64,08,01,22
201908012300,852,遵义,533384.22,08,01,23
201908021100,852,遵义,420802.59,08,02,11
201908021115,852,遵义,430045.45,08,02,11
201908021140,852,遵义,437607.58,08,02,11
201908021225,852,遵义,461678.33,08,02,12
201908021230,852,遵义,481906.70,08,02,12
201908021330,852,遵义,458884.00,08,02,13
201908021610,852,遵义,441802.04,08,02,16
201908021740,852,遵义,447415.76,08,02,17
201908021900,852,遵义,464084.83,08,02,19
201908021905,852,遵义,480161.20,08,02,19
201908022050,852,遵义,588705.20,08,02,20
201908022140,852,遵义,617674.06,08,02,21
201908031335,852,遵义,438888.45,08,03,13
201908031720,852,遵义,450207.15,08,03,17
201908032330,852,遵义,450180.37,08,03,23
201908041305,852,遵义,482797.10,08,04,13
201908041320,852,遵义,485417.95,08,04,13
201908041430,852,遵义,484427.94,08,04,14
201908041825,852,遵义,472436.22,08,04,18
201908042210,852,遵义,606470.36,08,04,22
201908042340,852,遵义,402023.96,08,04,23
201908042345,852,遵义,395708.48,08,04,23
201908050915,852,遵义,349687.53,08,05,09
201908051450,852,遵义,444967.27,08,05,14
201908051455,852,遵义,444350.38,08,05,14
201908051550,852,遵义,443113.98,08,05,15
201908051625,852,遵义,449686.94,08,05,16
201908051915,852,遵义,461111.68,08,05,19
