日期,编码,地区,流量,月份,天,小时
201907221830,852,遵义,219659.77,07,22,18
201907221845,852,遵义,210970.48,07,22,18
201907231015,852,遵义,174040.66,07,23,10
201907231240,852,遵义,241545.67,07,23,12
201907231515,852,遵义,218785.46,07,23,15
201907231850,852,遵义,255643.65,07,23,18
201907232150,852,遵义,292164.70,07,23,21
201907241850,852,遵义,232841.72,07,24,18
201907251000,852,遵义,209119.24,07,25,10
201907251115,852,遵义,224343.46,07,25,11
201907251505,852,遵义,228635.74,07,25,15
201907251555,852,遵义,229546.95,07,25,15
201907252035,852,遵义,272381.82,07,25,20
201907252155,852,遵义,299935.96,07,25,21
201907261605,852,遵义,449644.47,07,26,16
201907261615,852,遵义,480159.16,07,26,16
201907261755,852,遵义,464168.42,07,26,17
201907271105,852,遵义,435002.37,07,27,11
201907271305,852,遵义,463560.58,07,27,13
201907271315,852,遵义,463332.11,07,27,13
201907272000,852,遵义,484317.22,07,27,20
201907272055,852,遵义,526254.60,07,27,20
201907272255,852,遵义,551608.44,07,27,22
201907280950,852,遵义,393217.90,07,28,09
201907281810,852,遵义,424992.71,07,28,18
201907281935,852,遵义,420514.20,07,28,19
201907282000,852,遵义,434505.59,07,28,20
201907282005,852,遵义,438853.68,07,28,20
201907282015,852,遵义,440646.52,07,28,20
201907282025,852,遵义,445117.60,07,28,20
201907282040,852,遵义,477393.40,07,28,20
201907282110,852,遵义,494964.54,07,28,21
201907282305,852,遵义,492197.59,07,28,23
201907291255,852,遵义,455611.48,07,29,12
201907291530,852,遵义,348778.79,07,29,15
201907291540,852,遵义,363351.77,07,29,15
201907291630,852,遵义,372943.77,07,29,16
201907291710,852,遵义,385339.93,07,29,17
201907291815,852,遵义,387438.45,07,29,18
201907292000,852,遵义,430342.29,07,29,20
201907292115,852,遵义,497835.30,07,29,21
201907300910,852,遵义,318356.70,07,30,09
201907301150,852,遵义,410090.43,07,30,11
201907301640,852,遵义,408313.55,07,30,16
201907301725,852,遵义,355524.83,07,30,17
201907302000,852,遵义,431034.87,07,30,20
201907302320,852,遵义,376295.19,07,30,23
201907310920,852,遵义,323262.74,07,31,09
201907311225,852,遵义,453228.31,07,31,12
201907311315,852,遵义,411176.46,07,31,13
201907311600,852,遵义,400248.45,07,31,16
201907312110,852,遵义,474868.76,07,31,21
201908011030,852,遵义,399463.63,08,01,10
201908011245,852,遵义,488131.72,08,01,12
201908011805,852,遵义,455375.77,08,01,18
201908011825,852,遵义,457664.57,08,01,18
201908011940,852,遵义,461943.11,08,01,19
201908012015,852,遵义,498852.02,08,01,20
201908012150,852,遵义,571780.88,08,01,21
201908012205,852,遵义,565380.45,08,01,22
201908012300,852,遵义,534194.85,08,01,23
201908021100,852,遵义,408374.78,08,02,11
201908021115,852,遵义,414916.54,08,02,11
201908021140,852,遵义,422342.71,08,02,11
201908021225,852,遵义,441729.83,08,02,12
201908021230,852,遵义,460968.81,08,02,12
201908021330,852,遵义,428088.38,08,02,13
201908021610,852,遵义,453918.08,08,02,16
201908021740,852,遵义,469323.01,08,02,17
201908021900,852,遵义,479525.63,08,02,19
201908021905,852,遵义,481445.34,08,02,19
201908022050,852,遵义,556375.77,08,02,20
201908022140,852,遵义,577651.02,08,02,21
201908031335,852,遵义,448356.15,08,03,13
201908031720,852,遵义,446822.45,08,03,17
201908032330,852,遵义,465091.58,08,03,23
201908041305,852,遵义,478570.17,08,04,13
201908041320,852,遵义,482107.82,08,04,13
201908041430,852,遵义,466020.78,08,04,14
201908041825,852,遵义,471336.85,08,04,18
201908042210,852,遵义,585138.97,08,04,22
201908042340,852,遵义,453428.29,08,04,23
201908042345,852,遵义,454173.87,08,04,23
201908050915,852,遵义,361663.75,08,05,09
201908051450,852,遵义,443437.73,08,05,14
201908051455,852,遵义,449397.82,08,05,14
201908051550,852,遵义,462785.54,08,05,15
201908051625,852,遵义,451695.35,08,05,16
201908051915,852,遵义,477890.66,08,05,19
201908052015,852,遵义,528063.54,08,05,20
201908052145,852,遵义,580581.07,08,05,21
201908052220,852,遵义,562904.81,08,05,22
201908060945,852,遵义,373930.01,08,06,09
201908061150,852,遵义,438913.94,08,06,11
201908061420,852,遵义,431862.40,08,06,14
201908061615,852,遵义,447580.58,08,06,16
201908061850,852,遵义,475827.01,08,06,18
201908062050,852,遵义,548316.35,08,06,20
201908062345,852,遵义,451370.81,08,06,23
201908071100,852,遵义,427543.21,08,07,11
201908071505,852,遵义,458806.05,08,07,15
201908071645,852,遵义,459305.57,08,07,16
201908072130,852,遵义,567385.67,08,07,21
201908081430,852,遵义,442249.69,08,08,14
201908081725,852,遵义,439166.19,08,08,17
201908081755,852,遵义,429531.93,08,08,17
201908081800,852,遵义,445932.95,08,08,18
201908081815,852,遵义,428108.89,08,08,18
201908082040,852,遵义,522642.38,08,08,20
201908091340,852,遵义,499064.53,08,09,13
201910270900,852,遵义,399814.90,10,27,09
201910270905,852,遵义,408134.52,10,27,09
