日期,编码,地区,流量,月份,天,小时
201907221830,852,遵义,77215.63,07,22,18
201907221845,852,遵义,70959.71,07,22,18
201907231015,852,遵义,66126.16,07,23,10
201907231240,852,遵义,96312.63,07,23,12
201907231515,852,遵义,89055.02,07,23,15
201907231850,852,遵义,88147.24,07,23,18
201907232150,852,遵义,115864.17,07,23,21
201907241850,852,遵义,76332.64,07,24,18
201907251000,852,遵义,75014.94,07,25,10
201907251115,852,遵义,82216.30,07,25,11
201907251505,852,遵义,82764.42,07,25,15
201907251555,852,遵义,85246.91,07,25,15
201907252035,852,遵义,97143.01,07,25,20
201907252155,852,遵义,118819.18,07,25,21
201907261605,852,遵义,212070.00,07,26,16
201907261615,852,遵义,212032.23,07,26,16
201907261755,852,遵义,205139.07,07,26,17
201907271105,852,遵义,208093.69,07,27,11
201907271305,852,遵义,233776.47,07,27,13
201907271315,852,遵义,238702.05,07,27,13
201907272000,852,遵义,225777.11,07,27,20
201907272055,852,遵义,266106.19,07,27,20
201907272255,852,遵义,284692.57,07,27,22
201907280950,852,遵义,193622.34,07,28,09
201907281810,852,遵义,202701.27,07,28,18
201907281935,852,遵义,189056.84,07,28,19
201907282000,852,遵义,196501.09,07,28,20
201907282005,852,遵义,201576.26,07,28,20
201907282015,852,遵义,210586.41,07,28,20
201907282025,852,遵义,216437.02,07,28,20
201907282040,852,遵义,232429.38,07,28,20
201907282110,852,遵义,261960.48,07,28,21
201907282305,852,遵义,247738.44,07,28,23
201907291255,852,遵义,231265.18,07,29,12
201907291530,852,遵义,180684.22,07,29,15
201907291540,852,遵义,172223.90,07,29,15
201907291630,852,遵义,173324.47,07,29,16
201907291710,852,遵义,173169.83,07,29,17
201907291815,852,遵义,178019.08,07,29,18
201907292000,852,遵义,185380.29,07,29,20
201907292115,852,遵义,251616.41,07,29,21
201907300910,852,遵义,156034.27,07,30,09
201907301150,852,遵义,204930.59,07,30,11
201907301640,852,遵义,189561.61,07,30,16
201907301725,852,遵义,163256.26,07,30,17
201907302000,852,遵义,233816.08,07,30,20
201907302320,852,遵义,170443.63,07,30,23
201907310920,852,遵义,204692.60,07,31,09
201907311225,852,遵义,210623.12,07,31,12
201907311315,852,遵义,195738.62,07,31,13
201907311600,852,遵义,184987.15,07,31,16
201907312110,852,遵义,234114.73,07,31,21
201908011030,852,遵义,189737.97,08,01,10
201908011245,852,遵义,247125.26,08,01,12
201908011805,852,遵义,212305.30,08,01,18
201908011825,852,遵义,205924.81,08,01,18
201908011940,852,遵义,215068.87,08,01,19
201908012015,852,遵义,234473.79,08,01,20
201908012150,852,遵义,300366.31,08,01,21
201908012205,852,遵义,298598.26,08,01,22
201908012300,852,遵义,276286.25,08,01,23
201908021100,852,遵义,199735.04,08,02,11
201908021115,852,遵义,201640.98,08,02,11
201908021140,852,遵义,212612.83,08,02,11
201908021225,852,遵义,218942.30,08,02,12
201908021230,852,遵义,231806.67,08,02,12
201908021330,852,遵义,214256.70,08,02,13
201908021610,852,遵义,232103.53,08,02,16
201908021740,852,遵义,212330.05,08,02,17
201908021900,852,遵义,216803.43,08,02,19
201908021905,852,遵义,227213.94,08,02,19
201908022050,852,遵义,275762.52,08,02,20
201908022140,852,遵义,317172.28,08,02,21
201908031335,852,遵义,225506.44,08,03,13
201908031720,852,遵义,218906.49,08,03,17
201908032330,852,遵义,218698.33,08,03,23
201908041305,852,遵义,262653.25,08,04,13
201908041320,852,遵义,252844.11,08,04,13
201908041430,852,遵义,240926.14,08,04,14
201908041825,852,遵义,217252.13,08,04,18
201908042210,852,遵义,311081.46,08,04,22
201908042340,852,遵义,208969.92,08,04,23
201908042345,852,遵义,199580.42,08,04,23
201908050915,852,遵义,170275.18,08,05,09
201908051450,852,遵义,219294.91,08,05,14
201908051455,852,遵义,211985.39,08,05,14
201908051550,852,遵义,211721.98,08,05,15
201908051625,852,遵义,212702.77,08,05,16
201908051915,852,遵义,225768.49,08,05,19
201908052015,852,遵义,250123.11,08,05,20
201908052145,852,遵义,312480.07,08,05,21
201908052220,852,遵义,294762.65,08,05,22
201908060945,852,遵义,176592.55,08,06,09
201908061150,852,遵义,213512.52,08,06,11
201908061420,852,遵义,215950.47,08,06,14
201908061615,852,遵义,205294.59,08,06,16
201908061850,852,遵义,205807.34,08,06,18
201908062050,852,遵义,280375.07,08,06,20
201908062345,852,遵义,206197.67,08,06,23
201908071100,852,遵义,206766.97,08,07,11
201908071505,852,遵义,225692.80,08,07,15
201908071645,852,遵义,217780.79,08,07,16
201908072130,852,遵义,311202.92,08,07,21
201908081430,852,遵义,206307.21,08,08,14
201908081725,852,遵义,200798.15,08,08,17
201908081755,852,遵义,190758.68,08,08,17
201908081800,852,遵义,198895.24,08,08,18
201908081815,852,遵义,192010.12,08,08,18
201908082040,852,遵义,269160.36,08,08,20
201908091340,852,遵义,221111.42,08,09,13
201910270900,852,遵义,159064.31,10,27,09
201910270905,852,遵义,159889.80,10,27,09
201910270910,852,遵义,165489.35,10,27,09
201910270915,852,遵义,168104.67,10,27,09
201910270920,852,遵义,168334.36,10,27,09
201910270925,852,遵义,172759.05,10,27,09
201910270930,852,遵义,172108.97,10,27,09
201910270935,852,遵义,174873.06,10,27,09
201910270940,852,遵义,179728.28,10,27,09
201910270945,852,遵义,177497.00,10,27,09
201910270950,852,遵义,182959.10,10,27,09
201910270955,852,遵义,187048.80,10,27,09
201910271000,852,遵义,190346.03,10,27,10
201910271005,852,遵义,193694.08,10,27,10
201910271010,852,遵义,190073.66,10,27,10
201910271015,852,遵义,195719.89,10,27,10
201910271020,852,遵义,194355.92,10,27,10
201910271025,852,遵义,195623.70,10,27,10
201910271030,852,遵义,196416.23,10,27,10
201910271035,852,遵义,202120.22,10,27,10
201910271040,852,遵义,202447.87,10,27,10
201910271045,852,遵义,199904.14,10,27,10
201910271050,852,遵义,204720.03,10,27,10
201910271055,852,遵义,201188.02,10,27,10
201910271100,852,遵义,203098.89,10,27,11
201910271105,852,遵义,202985.60,10,27,11
201910271110,852,遵义,203278.66,10,27,11
201910271115,852,遵义,207067.19,10,27,11
201910271120,852,遵义,203319.36,10,27,11
201910271125,852,遵义,204245.88,10,27,11
201910271130,852,遵义,206157.77,10,27,11
201910271135,852,遵义,204213.87,10,27,11
201910271140,852,遵义,203473.70,10,27,11
201910271145,852,遵义,206362.60,10,27,11
201910271150,852,遵义,205920.09,10,27,11
201910271155,852,遵义,207140.46,10,27,11
201910271200,852,遵义,205866.77,10,27,12
201910271205,852,遵义,205564.47,10,27,12
201910271210,852,遵义,206508.22,10,27,12
201910271215,852,遵义,209606.13,10,27,12
201910271220,852,遵义,217055.08,10,27,12
201910271225,852,遵义,220055.57,10,27,12
201910271230,852,遵义,221807.54,10,27,12
201910271235,852,遵义,221050.53,10,27,12
201910271240,852,遵义,212119.79,10,27,12
201910271245,852,遵义,209268.46,10,27,12
201910271250,852,遵义,216694.48,10,27,12
201910271255,852,遵义,202274.16,10,27,12
201910271300,852,遵义,209182.41,10,27,13
