日期,编码,地区,流量,月份,天,小时
201907221830,852,遵义,42215.86,07,22,18
201907221845,852,遵义,40356.42,07,22,18
201907231015,852,遵义,39055.58,07,23,10
201907231240,852,遵义,50185.42,07,23,12
201907231515,852,遵义,49236.94,07,23,15
201907231850,852,遵义,55760.17,07,23,18
201907232150,852,遵义,70284.51,07,23,21
201907241850,852,遵义,48998.81,07,24,18
201907251000,852,遵义,44261.05,07,25,10
201907251115,852,遵义,47254.87,07,25,11
201907251505,852,遵义,48576.68,07,25,15
201907251555,852,遵义,48069.02,07,25,15
201907252035,852,遵义,54832.26,07,25,20
201907252155,852,遵义,65265.50,07,25,21
201907261605,852,遵义,135093.52,07,26,16
201907261615,852,遵义,135545.36,07,26,16
201907261755,852,遵义,136505.30,07,26,17
201907271105,852,遵义,127366.13,07,27,11
201907271305,852,遵义,146824.94,07,27,13
201907271315,852,遵义,141841.07,07,27,13
201907272000,852,遵义,138524.07,07,27,20
201907272055,852,遵义,167010.90,07,27,20
201907272255,852,遵义,168982.80,07,27,22
201907280950,852,遵义,118479.29,07,28,09
201907281810,852,遵义,129800.68,07,28,18
201907281935,852,遵义,118869.75,07,28,19
201907282000,852,遵义,126552.40,07,28,20
201907282005,852,遵义,126710.59,07,28,20
201907282015,852,遵义,132445.15,07,28,20
201907282025,852,遵义,137287.33,07,28,20
201907282040,852,遵义,148685.57,07,28,20
201907282110,852,遵义,157214.97,07,28,21
201907282305,852,遵义,153130.66,07,28,23
201907291255,852,遵义,149559.02,07,29,12
201907291530,852,遵义,112507.87,07,29,15
201907291540,852,遵义,106466.00,07,29,15
201907291630,852,遵义,117426.11,07,29,16
201907291710,852,遵义,115889.15,07,29,17
201907291815,852,遵义,113645.55,07,29,18
201907292000,852,遵义,115914.02,07,29,20
201907292115,852,遵义,157502.10,07,29,21
201907300910,852,遵义,97559.90,07,30,09
201907301150,852,遵义,125893.63,07,30,11
201907301640,852,遵义,117545.10,07,30,16
201907301725,852,遵义,100753.77,07,30,17
201907302000,852,遵义,140268.79,07,30,20
201907302320,852,遵义,107651.12,07,30,23
201907310920,852,遵义,103543.72,07,31,09
201907311225,852,遵义,136903.07,07,31,12
201907311315,852,遵义,129745.96,07,31,13
201907311600,852,遵义,123096.30,07,31,16
201907312110,852,遵义,163610.73,07,31,21
201908011030,852,遵义,125619.72,08,01,10
201908011245,852,遵义,155429.11,08,01,12
201908011805,852,遵义,139803.22,08,01,18
201908011825,852,遵义,138373.18,08,01,18
201908011940,852,遵义,165078.05,08,01,19
