日期,编码,地区,业务类型,流量
201907221830,853,安顺,普定县,223278.60
201907221845,853,安顺,普定县,220983.50
201907231015,853,安顺,普定县,174658.32
201907231240,853,安顺,普定县,250860.09
201907231515,853,安顺,普定县,275060.98
201907231850,853,安顺,普定县,253726.70
201907232150,853,安顺,普定县,353565.61
201907241850,853,安顺,普定县,241496.78
201907250820,853,安顺,普定县,141749.02
201907251000,853,安顺,普定县,200752.12
201907251115,853,安顺,普定县,222808.72
201907251505,853,安顺,普定县,225818.56
201907251555,853,安顺,普定县,234162.16
201907252035,853,安顺,普定县,274398.81
201907252155,853,安顺,普定县,336799.87
201907261605,853,安顺,普定县,249637.62
201907261615,853,安顺,普定县,245304.30
201907261755,853,安顺,普定县,228780.81
201907271105,853,安顺,普定县,210349.51
201907271305,853,安顺,普定县,257984.16
201907271315,853,安顺,普定县,254493.91
201907272000,853,安顺,普定县,248528.77
201907272055,853,安顺,普定县,295088.38
201907272255,853,安顺,普定县,321225.14
201907280950,853,安顺,普定县,188513.57
201907281810,853,安顺,普定县,226123.07
201907281935,853,安顺,普定县,237835.85
201907282000,853,安顺,普定县,236184.22
201907282005,853,安顺,普定县,243100.07
201907282015,853,安顺,普定县,247829.82
201907282025,853,安顺,普定县,264145.35
201907282040,853,安顺,普定县,274757.35
201907282110,853,安顺,普定县,308502.99
201907282305,853,安顺,普定县,318335.42
201907291255,853,安顺,普定县,263159.83
201907291530,853,安顺,普定县,231323.09
201907291540,853,安顺,普定县,236852.75
201907291630,853,安顺,普定县,228359.83
201907291710,853,安顺,普定县,223749.91
201907291815,853,安顺,普定县,226266.39
201907292000,853,安顺,普定县,241875.36
201907292115,853,安顺,普定县,309366.55
201907300910,853,安顺,普定县,172683.50
201907301150,853,安顺,普定县,221206.00
201907301640,853,安顺,普定县,232330.39
201907301725,853,安顺,普定县,215292.16
201907302000,853,安顺,普定县,297291.28
201907302320,853,安顺,普定县,245797.90
201907310920,853,安顺,普定县,172414.32
201907311225,853,安顺,普定县,240470.86
201907311315,853,安顺,普定县,249911.88
201907311600,853,安顺,普定县,263541.33
201907312110,853,安顺,普定县,318187.83
201908011030,853,安顺,普定县,238660.01
201908011245,853,安顺,普定县,311597.22
201908011805,853,安顺,普定县,265744.56
201908011825,853,安顺,普定县,262245.61
201908011940,853,安顺,普定县,262803.54
201908012015,853,安顺,普定县,289697.15
201908012150,853,安顺,普定县,374588.91
201908012205,853,安顺,普定县,380352.20
201908012300,853,安顺,普定县,348109.52
201908021100,853,安顺,普定县,232771.44
201908021115,853,安顺,普定县,239596.18
201908021140,853,安顺,普定县,245654.01
201908021225,853,安顺,普定县,268929.02
201908021230,853,安顺,普定县,273312.42
201908021330,853,安顺,普定县,271944.39
201908021610,853,安顺,普定县,260289.28
201908021740,853,安顺,普定县,267350.01
201908021900,853,安顺,普定县,255355.44
201908021905,853,安顺,普定县,267296.10
201908022050,853,安顺,普定县,347246.41
201908022140,853,安顺,普定县,373946.58
201908030840,853,安顺,普定县,174388.51
201908031335,853,安顺,普定县,264248.24
201908031720,853,安顺,普定县,254238.35
201908032330,853,安顺,普定县,289571.27
201908041305,853,安顺,普定县,264710.93
201908041320,853,安顺,普定县,262287.53
201908041430,853,安顺,普定县,251239.38
201908041825,853,安顺,普定县,277941.95
201908042210,853,安顺,普定县,357631.15
201908042340,853,安顺,普定县,258430.66
201908042345,853,安顺,普定县,249653.66
201908050915,853,安顺,普定县,178754.29
201908051450,853,安顺,普定县,229392.50
201908051455,853,安顺,普定县,232855.53
201908051550,853,安顺,普定县,243968.42
201908051625,853,安顺,普定县,238281.67
201908051915,853,安顺,普定县,243904.13
201908052015,853,安顺,普定县,285078.39
201908052145,853,安顺,普定县,339915.61
201908052220,853,安顺,普定县,329615.78
201908060810,853,安顺,普定县,146150.18
201908060945,853,安顺,普定县,187880.21
201908061150,853,安顺,普定县,230502.55
201908061420,853,安顺,普定县,232537.09
201908061615,853,安顺,普定县,232347.94
201908061850,853,安顺,普定县,228048.94
201908062050,853,安顺,普定县,318460.99
201908062345,853,安顺,普定县,262283.36
201908070830,853,安顺,普定县,150688.27
201908071100,853,安顺,普定县,211195.64
201908071505,853,安顺,普定县,241296.79
201908071645,853,安顺,普定县,232850.00
201908072130,853,安顺,普定县,326796.67
201908081430,853,安顺,普定县,243852.62
201908081725,853,安顺,普定县,233671.26
201908081755,853,安顺,普定县,228939.87
201908081800,853,安顺,普定县,230298.92
201908081815,853,安顺,普定县,231463.23
201908082040,853,安顺,普定县,308456.71
201908090820,853,安顺,普定县,150198.97
201908091340,853,安顺,普定县,264808.38
201910270800,853,安顺,普定县,139103.35
201910270805,853,安顺,普定县,149381.21
201910270810,853,安顺,普定县,154119.02
201910270815,853,安顺,普定县,154766.32
201910270820,853,安顺,普定县,157098.72
201910270825,853,安顺,普定县,155422.59
201910270830,853,安顺,普定县,157899.91
201910270835,853,安顺,普定县,164427.14
201910270840,853,安顺,普定县,166972.03
201910270845,853,安顺,普定县,175198.98
201910270850,853,安顺,普定县,170956.77
201910270855,853,安顺,普定县,182866.59
201910270900,853,安顺,普定县,180084.21
201910270905,853,安顺,普定县,184266.49
201910270910,853,安顺,普定县,194173.46
201910270915,853,安顺,普定县,192250.63
201910270920,853,安顺,普定县,204779.00
201910270925,853,安顺,普定县,199600.87
201910270930,853,安顺,普定县,202596.06
201910270935,853,安顺,普定县,207463.03
201910270940,853,安顺,普定县,215361.25
201910270945,853,安顺,普定县,208747.56
201910270950,853,安顺,普定县,206319.74
201910270955,853,安顺,普定县,211677.88
201910271000,853,安顺,普定县,209339.06
201910271005,853,安顺,普定县,209924.81
201910271010,853,安顺,普定县,215753.78
201910271015,853,安顺,普定县,209991.41
201910271020,853,安顺,普定县,211468.52
201910271025,853,安顺,普定县,203793.48
201910271030,853,安顺,普定县,212468.90
201910271035,853,安顺,普定县,209733.97
201910271040,853,安顺,普定县,209819.46
201910271045,853,安顺,普定县,212939.26
201910271050,853,安顺,普定县,219146.17
201910271055,853,安顺,普定县,220795.10
