日期,编码,地区,业务类型,流量
201907221830,854,黔南,长顺县,33988.48
201907221845,854,黔南,长顺县,29847.38
201907231015,854,黔南,长顺县,26229.68
201907231240,854,黔南,长顺县,41454.76
201907231515,854,黔南,长顺县,33782.60
201907231850,854,黔南,长顺县,31901.97
201907232150,854,黔南,长顺县,46407.31
201907241850,854,黔南,长顺县,35044.88
201907250820,854,黔南,长顺县,22644.29
201907251000,854,黔南,长顺县,27861.63
201907251115,854,黔南,长顺县,32672.40
201907251505,854,黔南,长顺县,35072.63
201907251555,854,黔南,长顺县,31390.63
201907252035,854,黔南,长顺县,42242.22
201907252155,854,黔南,长顺县,49436.86
201907261605,854,黔南,长顺县,145126.57
201907261615,854,黔南,长顺县,144720.38
201907261755,854,黔南,长顺县,143457.96
201907271105,854,黔南,长顺县,131521.33
201907271305,854,黔南,长顺县,158528.16
201907271315,854,黔南,长顺县,155957.63
201907272000,854,黔南,长顺县,144403.00
201907272055,854,黔南,长顺县,185892.65
201907272255,854,黔南,长顺县,196714.49
201907280950,854,黔南,长顺县,118037.34
201907281810,854,黔南,长顺县,135509.14
201907281935,854,黔南,长顺县,134467.50
201907282000,854,黔南,长顺县,133693.16
201907282005,854,黔南,长顺县,137261.73
201907282015,854,黔南,长顺县,140568.27
201907282025,854,黔南,长顺县,148118.79
201907282040,854,黔南,长顺县,161739.78
201907282110,854,黔南,长顺县,181763.01
201907282305,854,黔南,长顺县,180056.43
201907291255,854,黔南,长顺县,160151.03
201907291530,854,黔南,长顺县,130198.08
201907291540,854,黔南,长顺县,133240.67
201907291630,854,黔南,长顺县,131990.55
201907291710,854,黔南,长顺县,134662.66
201907291815,854,黔南,长顺县,129048.54
201907292000,854,黔南,长顺县,136338.52
201907292115,854,黔南,长顺县,190889.66
201907300910,854,黔南,长顺县,102012.98
201907301150,854,黔南,长顺县,135717.41
201907301640,854,黔南,长顺县,132527.02
201907301725,854,黔南,长顺县,120249.71
201907302000,854,黔南,长顺县,146153.09
201907302320,854,黔南,长顺县,151693.00
201907310920,854,黔南,长顺县,105504.11
201907311225,854,黔南,长顺县,147867.79
201907311315,854,黔南,长顺县,153470.64
201907311600,854,黔南,长顺县,130033.41
201907312110,854,黔南,长顺县,191879.32
201908011030,854,黔南,长顺县,135191.57
201908011245,854,黔南,长顺县,174365.67
201908011805,854,黔南,长顺县,161610.67
201908011825,854,黔南,长顺县,160802.01
201908011940,854,黔南,长顺县,161852.70
201908012015,854,黔南,长顺县,183751.83
201908012150,854,黔南,长顺县,221960.27
201908012205,854,黔南,长顺县,228101.42
201908012300,854,黔南,长顺县,211424.17
201908021100,854,黔南,长顺县,132858.21
201908021115,854,黔南,长顺县,139401.04
201908021140,854,黔南,长顺县,140468.52
201908021225,854,黔南,长顺县,153919.76
201908021230,854,黔南,长顺县,161567.00
201908021330,854,黔南,长顺县,166564.49
201908021610,854,黔南,长顺县,147258.77
201908021740,854,黔南,长顺县,157047.09
201908021900,854,黔南,长顺县,163376.30
201908021905,854,黔南,长顺县,160837.42
201908022050,854,黔南,长顺县,222543.36
201908022140,854,黔南,长顺县,223461.69
201908030840,854,黔南,长顺县,103490.30
201908031335,854,黔南,长顺县,168031.12
201908031720,854,黔南,长顺县,151458.02
201908032330,854,黔南,长顺县,172234.12
201908041305,854,黔南,长顺县,170713.20
201908041320,854,黔南,长顺县,180257.98
201908041430,854,黔南,长顺县,175578.68
201908041825,854,黔南,长顺县,155015.52
201908042210,854,黔南,长顺县,219913.61
201908042340,854,黔南,长顺县,165454.59
201908042345,854,黔南,长顺县,160350.76
201908050915,854,黔南,长顺县,106517.33
201908051450,854,黔南,长顺县,141251.85
201908051455,854,黔南,长顺县,135231.03
201908051550,854,黔南,长顺县,137939.77
201908051625,854,黔南,长顺县,144667.07
201908051915,854,黔南,长顺县,142906.42
201908052015,854,黔南,长顺县,168418.62
201908052145,854,黔南,长顺县,214188.09
201908052220,854,黔南,长顺县,208060.50
201908060810,854,黔南,长顺县,92442.00
201908060945,854,黔南,长顺县,119149.15
201908061150,854,黔南,长顺县,141977.66
201908061420,854,黔南,长顺县,137831.60
201908061615,854,黔南,长顺县,139410.42
201908061850,854,黔南,长顺县,137754.76
201908062050,854,黔南,长顺县,199513.55
201908062345,854,黔南,长顺县,160195.66
201908070830,854,黔南,长顺县,97523.95
201908071100,854,黔南,长顺县,137245.15
201908071505,854,黔南,长顺县,158378.30
201908071645,854,黔南,长顺县,166301.19
201908072130,854,黔南,长顺县,215563.85
201908081430,854,黔南,长顺县,140476.44
201908081725,854,黔南,长顺县,137356.94
201908081755,854,黔南,长顺县,135739.37
201908081800,854,黔南,长顺县,134565.64
201908081815,854,黔南,长顺县,140263.57
201908082040,854,黔南,长顺县,203647.48
201908090820,854,黔南,长顺县,96110.41
201908091340,854,黔南,长顺县,161293.71
201910270800,854,黔南,长顺县,93671.41
201910270805,854,黔南,长顺县,98376.88
201910270810,854,黔南,长顺县,102665.22
201910270815,854,黔南,长顺县,105453.87
201910270820,854,黔南,长顺县,99137.37
201910270825,854,黔南,长顺县,105974.69
201910270830,854,黔南,长顺县,110910.63
201910270835,854,黔南,长顺县,109590.67
201910270840,854,黔南,长顺县,108248.83
201910270845,854,黔南,长顺县,110887.87
201910270850,854,黔南,长顺县,109602.72
201910270855,854,黔南,长顺县,114706.55
