日期,编码,地区,业务类型,流量
201907221830,854,黔南,惠水县,56664.98
201907221845,854,黔南,惠水县,58786.70
201907231015,854,黔南,惠水县,45102.89
201907231240,854,黔南,惠水县,65074.01
201907231515,854,黔南,惠水县,55336.16
201907231850,854,黔南,惠水县,55394.61
201907232150,854,黔南,惠水县,74604.87
201907241850,854,黔南,惠水县,55932.63
201907250820,854,黔南,惠水县,35826.37
201907251000,854,黔南,惠水县,47956.18
201907251115,854,黔南,惠水县,54484.94
201907251505,854,黔南,惠水县,56601.36
201907251555,854,黔南,惠水县,55632.06
201907252035,854,黔南,惠水县,64251.27
201907252155,854,黔南,惠水县,73251.40
201907261605,854,黔南,惠水县,232934.12
201907261615,854,黔南,惠水县,234630.82
201907261755,854,黔南,惠水县,231277.82
201907271105,854,黔南,惠水县,212488.40
201907271305,854,黔南,惠水县,249393.46
201907271315,854,黔南,惠水县,249794.09
201907272000,854,黔南,惠水县,248426.32
201907272055,854,黔南,惠水县,289057.22
201907272255,854,黔南,惠水县,306258.34
201907280950,854,黔南,惠水县,194149.62
201907281810,854,黔南,惠水县,224982.75
201907281935,854,黔南,惠水县,225202.04
201907282000,854,黔南,惠水县,223207.95
201907282005,854,黔南,惠水县,235205.78
201907282015,854,黔南,惠水县,237006.10
201907282025,854,黔南,惠水县,249369.32
201907282040,854,黔南,惠水县,270374.47
201907282110,854,黔南,惠水县,300636.84
201907282305,854,黔南,惠水县,281368.75
201907291255,854,黔南,惠水县,255351.34
201907291530,854,黔南,惠水县,208838.84
201907291540,854,黔南,惠水县,208770.69
201907291630,854,黔南,惠水县,202577.23
201907291710,854,黔南,惠水县,219691.80
201907291815,854,黔南,惠水县,213144.26
201907292000,854,黔南,惠水县,224893.43
201907292115,854,黔南,惠水县,295572.96
201907300910,854,黔南,惠水县,175262.07
201907301150,854,黔南,惠水县,230412.36
201907301640,854,黔南,惠水县,223772.73
201907301725,854,黔南,惠水县,211411.91
201907302000,854,黔南,惠水县,245027.60
201907302320,854,黔南,惠水县,234043.64
201907310920,854,黔南,惠水县,172183.96
201907311225,854,黔南,惠水县,241853.33
201907311315,854,黔南,惠水县,247818.78
201907311600,854,黔南,惠水县,219354.21
201907312110,854,黔南,惠水县,311235.19
201908011030,854,黔南,惠水县,224402.93
201908011245,854,黔南,惠水县,285324.34
201908011805,854,黔南,惠水县,264091.76
201908011825,854,黔南,惠水县,277677.52
201908011940,854,黔南,惠水县,276860.21
201908012015,854,黔南,惠水县,292454.87
201908012150,854,黔南,惠水县,365550.79
201908012205,854,黔南,惠水县,352149.99
201908012300,854,黔南,惠水县,323855.04
201908021100,854,黔南,惠水县,228079.32
201908021115,854,黔南,惠水县,235188.05
201908021140,854,黔南,惠水县,236256.21
201908021225,854,黔南,惠水县,262566.09
201908021230,854,黔南,惠水县,266280.44
201908021330,854,黔南,惠水县,261706.38
201908021610,854,黔南,惠水县,247361.54
201908021740,854,黔南,惠水县,264808.09
201908021900,854,黔南,惠水县,262850.80
201908021905,854,黔南,惠水县,271888.62
201908022050,854,黔南,惠水县,343635.81
201908022140,854,黔南,惠水县,349185.59
201908030840,854,黔南,惠水县,171215.77
201908031335,854,黔南,惠水县,254392.52
201908031720,854,黔南,惠水县,246810.95
201908032330,854,黔南,惠水县,283389.21
201908041305,854,黔南,惠水县,312296.72
201908041320,854,黔南,惠水县,308772.44
201908041430,854,黔南,惠水县,252188.70
201908041825,854,黔南,惠水县,248733.90
201908042210,854,黔南,惠水县,349622.65
201908042340,854,黔南,惠水县,246692.49
201908042345,854,黔南,惠水县,247837.94
201908050915,854,黔南,惠水县,185214.47
201908051450,854,黔南,惠水县,239598.66
201908051455,854,黔南,惠水县,240315.02
201908051550,854,黔南,惠水县,227673.62
201908051625,854,黔南,惠水县,228467.05
