日期,编码,地区,业务类型,流量
201907221830,854,黔南,平塘县,24881.01
201907221845,854,黔南,平塘县,25717.76
201907231015,854,黔南,平塘县,20684.06
201907231240,854,黔南,平塘县,30445.39
201907231515,854,黔南,平塘县,28687.22
201907231850,854,黔南,平塘县,26137.11
201907232150,854,黔南,平塘县,35389.53
201907241850,854,黔南,平塘县,26243.77
201907250820,854,黔南,平塘县,20661.89
201907251000,854,黔南,平塘县,26130.50
201907251115,854,黔南,平塘县,30096.19
201907251505,854,黔南,平塘县,27462.07
201907251555,854,黔南,平塘县,26824.13
201907252035,854,黔南,平塘县,31091.36
201907252155,854,黔南,平塘县,38642.33
201907261605,854,黔南,平塘县,139269.54
201907261615,854,黔南,平塘县,133201.99
201907261755,854,黔南,平塘县,133601.39
201907271105,854,黔南,平塘县,122784.47
201907271305,854,黔南,平塘县,148330.74
201907271315,854,黔南,平塘县,146399.44
201907272000,854,黔南,平塘县,135502.86
201907272055,854,黔南,平塘县,167492.27
201907272255,854,黔南,平塘县,175498.57
201907280950,854,黔南,平塘县,111085.08
201907281810,854,黔南,平塘县,127872.22
201907281935,854,黔南,平塘县,126549.55
201907282000,854,黔南,平塘县,133528.83
201907282005,854,黔南,平塘县,135911.42
201907282015,854,黔南,平塘县,140220.13
201907282025,854,黔南,平塘县,144550.12
201907282040,854,黔南,平塘县,148941.14
201907282110,854,黔南,平塘县,170555.91
201907282305,854,黔南,平塘县,160502.53
201907291255,854,黔南,平塘县,151458.52
201907291530,854,黔南,平塘县,124504.09
201907291540,854,黔南,平塘县,126084.89
201907291630,854,黔南,平塘县,123632.47
201907291710,854,黔南,平塘县,128728.43
201907291815,854,黔南,平塘县,118317.36
201907292000,854,黔南,平塘县,133602.36
201907292115,854,黔南,平塘县,169335.73
201907300910,854,黔南,平塘县,97944.26
201907301150,854,黔南,平塘县,131671.28
201907301640,854,黔南,平塘县,132631.30
201907301725,854,黔南,平塘县,121017.13
201907302000,854,黔南,平塘县,142801.23
201907302320,854,黔南,平塘县,137567.23
201907310920,854,黔南,平塘县,95891.92
201907311225,854,黔南,平塘县,145203.07
201907311315,854,黔南,平塘县,145035.46
201907311600,854,黔南,平塘县,126549.39
201907312110,854,黔南,平塘县,190156.68
201908011030,854,黔南,平塘县,132639.65
201908011245,854,黔南,平塘县,161972.41
201908011805,854,黔南,平塘县,165340.09
201908011825,854,黔南,平塘县,169727.96
201908011940,854,黔南,平塘县,166987.69
201908012015,854,黔南,平塘县,185255.85
201908012150,854,黔南,平塘县,215616.89
201908012205,854,黔南,平塘县,211989.48
201908012300,854,黔南,平塘县,188926.79
201908021100,854,黔南,平塘县,137971.76
201908021115,854,黔南,平塘县,143671.98
201908021140,854,黔南,平塘县,149842.90
201908021225,854,黔南,平塘县,154815.79
201908021230,854,黔南,平塘县,152049.64
201908021330,854,黔南,平塘县,153602.48
201908021610,854,黔南,平塘县,143380.66
201908021740,854,黔南,平塘县,144309.95
201908021900,854,黔南,平塘县,146751.25
201908021905,854,黔南,平塘县,151351.34
201908022050,854,黔南,平塘县,196910.09
201908022140,854,黔南,平塘县,201988.60
201908030840,854,黔南,平塘县,105686.16
201908031335,854,黔南,平塘县,149945.54
201908031720,854,黔南,平塘县,149954.28
201908032330,854,黔南,平塘县,164450.24
201908041305,854,黔南,平塘县,166201.34
201908041320,854,黔南,平塘县,158500.74
201908041430,854,黔南,平塘县,145207.82
201908041825,854,黔南,平塘县,145322.00
