日期,编码,地区,业务类型,流量
201907221830,854,黔南,三都县,33906.57
201907221845,854,黔南,三都县,34146.10
201907231015,854,黔南,三都县,28349.77
201907231240,854,黔南,三都县,41225.96
201907231515,854,黔南,三都县,37205.77
201907231850,854,黔南,三都县,35845.76
201907232150,854,黔南,三都县,45161.67
201907241850,854,黔南,三都县,32797.29
201907250820,854,黔南,三都县,24247.15
201907251000,854,黔南,三都县,32528.78
201907251115,854,黔南,三都县,35895.41
201907251505,854,黔南,三都县,36993.01
201907251555,854,黔南,三都县,35500.35
201907252035,854,黔南,三都县,38721.70
201907252155,854,黔南,三都县,47430.85
201907261605,854,黔南,三都县,147702.37
201907261615,854,黔南,三都县,150194.86
201907261755,854,黔南,三都县,147680.10
201907271105,854,黔南,三都县,140631.90
201907271305,854,黔南,三都县,170530.82
201907271315,854,黔南,三都县,164260.87
201907272000,854,黔南,三都县,148391.35
201907272055,854,黔南,三都县,183614.65
201907272255,854,黔南,三都县,195793.25
201907280950,854,黔南,三都县,128170.75
201907281810,854,黔南,三都县,138782.98
201907281935,854,黔南,三都县,148900.00
201907282000,854,黔南,三都县,135832.76
201907282005,854,黔南,三都县,146438.57
201907282015,854,黔南,三都县,148256.27
201907282025,854,黔南,三都县,156400.92
201907282040,854,黔南,三都县,167481.19
201907282110,854,黔南,三都县,188317.13
201907282305,854,黔南,三都县,176120.08
201907291255,854,黔南,三都县,168780.06
201907291530,854,黔南,三都县,133819.93
201907291540,854,黔南,三都县,135415.07
201907291630,854,黔南,三都县,137846.51
201907291710,854,黔南,三都县,143866.97
201907291815,854,黔南,三都县,137807.08
201907292000,854,黔南,三都县,150493.55
201907292115,854,黔南,三都县,194992.50
201907300910,854,黔南,三都县,118139.30
201907301150,854,黔南,三都县,149572.35
201907301640,854,黔南,三都县,144056.33
201907301725,854,黔南,三都县,139657.59
201907302000,854,黔南,三都县,152122.08
201907302320,854,黔南,三都县,155067.89
201907310920,854,黔南,三都县,119833.15
201907311225,854,黔南,三都县,157728.88
201907311315,854,黔南,三都县,165656.92
201907311600,854,黔南,三都县,145744.16
201907312110,854,黔南,三都县,196040.71
201908011030,854,黔南,三都县,155119.77
201908011245,854,黔南,三都县,192086.73
201908011805,854,黔南,三都县,171141.46
201908011825,854,黔南,三都县,174455.77
201908011940,854,黔南,三都县,189475.27
201908012015,854,黔南,三都县,203800.55
201908012150,854,黔南,三都县,240464.81
201908012205,854,黔南,三都县,230689.90
201908012300,854,黔南,三都县,199479.91
201908021100,854,黔南,三都县,158658.68
201908021115,854,黔南,三都县,159386.21
201908021140,854,黔南,三都县,170817.54
201908021225,854,黔南,三都县,174733.16
201908021230,854,黔南,三都县,178937.42
201908021330,854,黔南,三都县,168967.69
201908021610,854,黔南,三都县,154493.85
201908021740,854,黔南,三都县,158671.90
201908021900,854,黔南,三都县,169823.56
201908021905,854,黔南,三都县,167798.56
201908022050,854,黔南,三都县,225770.04
201908022140,854,黔南,三都县,223268.12
201908030840,854,黔南,三都县,116172.11
201908031335,854,黔南,三都县,174803.24
201908031720,854,黔南,三都县,153198.37
201908032330,854,黔南,三都县,177331.82
201908041305,854,黔南,三都县,186729.58
201908041320,854,黔南,三都县,178785.50
201908041430,854,黔南,三都县,164936.03
201908041825,854,黔南,三都县,164453.70
201908042210,854,黔南,三都县,228755.17
201908042340,854,黔南,三都县,159440.62
201908042345,854,黔南,三都县,151382.62
201908050915,854,黔南,三都县,120672.98
201908051450,854,黔南,三都县,157977.92
201908051455,854,黔南,三都县,153046.38
201908051550,854,黔南,三都县,151413.93
201908051625,854,黔南,三都县,154769.08
201908051915,854,黔南,三都县,148254.50
201908052015,854,黔南,三都县,181348.72
201908052145,854,黔南,三都县,225700.09
201908052220,854,黔南,三都县,218496.03
201908060810,854,黔南,三都县,99562.03
201908060945,854,黔南,三都县,134554.74
201908061150,854,黔南,三都县,153350.43
201908061420,854,黔南,三都县,152083.14
201908061615,854,黔南,三都县,157559.94
201908061850,854,黔南,三都县,144486.09
201908062050,854,黔南,三都县,198973.66
201908062345,854,黔南,三都县,165226.34
201908070830,854,黔南,三都县,102536.94
201908071100,854,黔南,三都县,149434.75
201908071505,854,黔南,三都县,159338.61
201908071645,854,黔南,三都县,148564.50
201908072130,854,黔南,三都县,231989.61
201908081430,854,黔南,三都县,162829.87
201908081725,854,黔南,三都县,155404.78
201908081755,854,黔南,三都县,156847.79
201908081800,854,黔南,三都县,152644.22
201908081815,854,黔南,三都县,158920.62
201908082040,854,黔南,三都县,206498.76
201908090820,854,黔南,三都县,103365.69
201908091340,854,黔南,三都县,168356.72
