日期,编码,地区,业务类型,流量
201907221830,850,贵安新区,贵安新区,235619.85
201907221845,850,贵安新区,贵安新区,238599.50
201907231015,850,贵安新区,贵安新区,188244.89
201907231240,850,贵安新区,贵安新区,269261.76
201907231515,850,贵安新区,贵安新区,222988.99
201907231850,850,贵安新区,贵安新区,255079.60
201907232150,850,贵安新区,贵安新区,361723.90
201907241850,850,贵安新区,贵安新区,265087.92
201907250820,850,贵安新区,贵安新区,159209.81
201907251000,850,贵安新区,贵安新区,188564.34
201907251115,850,贵安新区,贵安新区,212944.72
201907251505,850,贵安新区,贵安新区,217709.50
201907251555,850,贵安新区,贵安新区,214893.03
201907252035,850,贵安新区,贵安新区,288907.10
201907252155,850,贵安新区,贵安新区,340793.91
201907261605,850,贵安新区,贵安新区,205821.38
201907261615,850,贵安新区,贵安新区,209530.26
201907261755,850,贵安新区,贵安新区,212261.56
201907271105,850,贵安新区,贵安新区,202531.98
201907271305,850,贵安新区,贵安新区,224314.78
201907271315,850,贵安新区,贵安新区,224189.97
201907272000,850,贵安新区,贵安新区,244679.30
201907272055,850,贵安新区,贵安新区,292679.45
201907272255,850,贵安新区,贵安新区,303474.55
201907280950,850,贵安新区,贵安新区,182248.20
201907281810,850,贵安新区,贵安新区,213923.46
201907281935,850,贵安新区,贵安新区,237505.90
201907282000,850,贵安新区,贵安新区,237245.86
201907282005,850,贵安新区,贵安新区,250929.04
201907282015,850,贵安新区,贵安新区,248466.18
201907282025,850,贵安新区,贵安新区,256087.57
201907282040,850,贵安新区,贵安新区,270375.11
201907282110,850,贵安新区,贵安新区,296891.94
201907282305,850,贵安新区,贵安新区,295698.91
201907291255,850,贵安新区,贵安新区,246003.82
201907291530,850,贵安新区,贵安新区,193562.36
201907291540,850,贵安新区,贵安新区,193794.23
201907291630,850,贵安新区,贵安新区,207176.29
201907291710,850,贵安新区,贵安新区,209586.42
201907291815,850,贵安新区,贵安新区,205329.06
201907292000,850,贵安新区,贵安新区,237321.91
201907292115,850,贵安新区,贵安新区,295950.71
201907300910,850,贵安新区,贵安新区,165560.41
201907301150,850,贵安新区,贵安新区,215246.89
201907301640,850,贵安新区,贵安新区,195891.84
201907301725,850,贵安新区,贵安新区,216789.73
201907302000,850,贵安新区,贵安新区,268298.63
201907302320,850,贵安新区,贵安新区,247958.85
201907310920,850,贵安新区,贵安新区,172353.20
201907311225,850,贵安新区,贵安新区,250814.71
201907311315,850,贵安新区,贵安新区,234496.58
201907311600,850,贵安新区,贵安新区,205511.10
201907312110,850,贵安新区,贵安新区,324377.16
201908011030,850,贵安新区,贵安新区,219019.66
201908011245,850,贵安新区,贵安新区,285195.50
201908011805,850,贵安新区,贵安新区,247971.53
201908011825,850,贵安新区,贵安新区,262036.06
201908011940,850,贵安新区,贵安新区,270342.29
201908012015,850,贵安新区,贵安新区,304516.06
201908012150,850,贵安新区,贵安新区,370295.92
201908012205,850,贵安新区,贵安新区,373568.50
201908012300,850,贵安新区,贵安新区,338741.65
201908021100,850,贵安新区,贵安新区,218413.93
201908021115,850,贵安新区,贵安新区,228403.40
201908021140,850,贵安新区,贵安新区,230633.68
201908021225,850,贵安新区,贵安新区,273919.38
201908021230,850,贵安新区,贵安新区,275625.17
201908021330,850,贵安新区,贵安新区,237201.10
201908021610,850,贵安新区,贵安新区,243352.67
201908021740,850,贵安新区,贵安新区,230264.52
201908021900,850,贵安新区,贵安新区,250714.93
201908021905,850,贵安新区,贵安新区,256490.30
201908022050,850,贵安新区,贵安新区,355743.58
201908022140,850,贵安新区,贵安新区,372928.61
201908030840,850,贵安新区,贵安新区,174927.37
201908031335,850,贵安新区,贵安新区,224729.69
201908031720,850,贵安新区,贵安新区,259393.37
201908032330,850,贵安新区,贵安新区,299038.05
201908041305,850,贵安新区,贵安新区,270659.02
201908041320,850,贵安新区,贵安新区,255948.93
201908041430,850,贵安新区,贵安新区,233082.93
201908041825,850,贵安新区,贵安新区,259340.97
201908042210,850,贵安新区,贵安新区,341308.41
201908042340,850,贵安新区,贵安新区,255728.85
201908042345,850,贵安新区,贵安新区,248484.50
201908050915,850,贵安新区,贵安新区,162975.71
201908051450,850,贵安新区,贵安新区,217608.88
201908051455,850,贵安新区,贵安新区,211872.47
201908051550,850,贵安新区,贵安新区,221529.34
201908051625,850,贵安新区,贵安新区,216633.77
201908051915,850,贵安新区,贵安新区,237155.86
201908052015,850,贵安新区,贵安新区,266807.58
201908052145,850,贵安新区,贵安新区,327103.05
201908052220,850,贵安新区,贵安新区,314742.13
201908060810,850,贵安新区,贵安新区,141340.89
201908060945,850,贵安新区,贵安新区,170087.90
201908061150,850,贵安新区,贵安新区,211068.04
201908061420,850,贵安新区,贵安新区,209155.47
201908061615,850,贵安新区,贵安新区,211091.83
201908061850,850,贵安新区,贵安新区,229096.28
201908062050,850,贵安新区,贵安新区,313264.56
201908062345,850,贵安新区,贵安新区,255470.17
201908070830,850,贵安新区,贵安新区,150650.88
201908071100,850,贵安新区,贵安新区,202245.27
201908071505,850,贵安新区,贵安新区,211533.97
201908071645,850,贵安新区,贵安新区,220787.16
201908072130,850,贵安新区,贵安新区,321524.72
201908081430,850,贵安新区,贵安新区,212850.51
201908081725,850,贵安新区,贵安新区,220847.71
201908081755,850,贵安新区,贵安新区,218491.93
201908081800,850,贵安新区,贵安新区,217698.66
201908081815,850,贵安新区,贵安新区,221177.08
201908082040,850,贵安新区,贵安新区,297409.33
201908090820,850,贵安新区,贵安新区,149906.91
201908091340,850,贵安新区,贵安新区,222352.18
201910270800,850,贵安新区,贵安新区,157322.59
201910270805,850,贵安新区,贵安新区,167465.35
201910270810,850,贵安新区,贵安新区,168527.71
201910270815,850,贵安新区,贵安新区,181533.93
201910270820,850,贵安新区,贵安新区,183961.63
201910270825,850,贵安新区,贵安新区,191467.61
201910270830,850,贵安新区,贵安新区,195525.86
201910270835,850,贵安新区,贵安新区,197619.49
201910270840,850,贵安新区,贵安新区,209660.50
201910270845,850,贵安新区,贵安新区,207499.61
201910270850,850,贵安新区,贵安新区,208058.57
201910270855,850,贵安新区,贵安新区,214920.50
201910270900,850,贵安新区,贵安新区,214104.08
201910270905,850,贵安新区,贵安新区,227673.87
201910270910,850,贵安新区,贵安新区,224983.17
201910270915,850,贵安新区,贵安新区,237222.86
201910270920,850,贵安新区,贵安新区,232625.03
201910270925,850,贵安新区,贵安新区,237295.28
201910270930,850,贵安新区,贵安新区,244905.35
201910270935,850,贵安新区,贵安新区,248899.41
201910270940,850,贵安新区,贵安新区,247925.77
201910270945,850,贵安新区,贵安新区,253036.94
201910270950,850,贵安新区,贵安新区,266855.11
201910270955,850,贵安新区,贵安新区,269237.20
201910271000,850,贵安新区,贵安新区,270195.11
201910271005,850,贵安新区,贵安新区,282987.75
201910271010,850,贵安新区,贵安新区,283512.91
201910271015,850,贵安新区,贵安新区,292782.55
201910271020,850,贵安新区,贵安新区,284076.09
201910271025,850,贵安新区,贵安新区,293165.87
201910271030,850,贵安新区,贵安新区,297286.92
201910271035,850,贵安新区,贵安新区,307065.70
201910271040,850,贵安新区,贵安新区,302966.81
201910271045,850,贵安新区,贵安新区,309662.27
201910271050,850,贵安新区,贵安新区,315655.58
201910271055,850,贵安新区,贵安新区,319992.06
201910271100,850,贵安新区,贵安新区,315847.99
201910271105,850,贵安新区,贵安新区,321010.95
201910271110,850,贵安新区,贵安新区,322402.92
201910271115,850,贵安新区,贵安新区,327626.92
201910271120,850,贵安新区,贵安新区,328866.66
201910271125,850,贵安新区,贵安新区,322746.79
201910271130,850,贵安新区,贵安新区,331752.09
201910271135,850,贵安新区,贵安新区,340894.57
201910271140,850,贵安新区,贵安新区,337661.09
201910271145,850,贵安新区,贵安新区,336520.07
201910271150,850,贵安新区,贵安新区,337725.39
201910271155,850,贵安新区,贵安新区,340475.95
201910271200,850,贵安新区,贵安新区,341179.87
201910271205,850,贵安新区,贵安新区,350018.18
201910271210,850,贵安新区,贵安新区,350894.03
201910271215,850,贵安新区,贵安新区,357304.03
201910271220,850,贵安新区,贵安新区,365878.66
201910271225,850,贵安新区,贵安新区,370128.76
201910271230,850,贵安新区,贵安新区,381910.08
201910271235,850,贵安新区,贵安新区,390356.46
201910271240,850,贵安新区,贵安新区,387549.10
201910271245,850,贵安新区,贵安新区,383189.73
201910271250,850,贵安新区,贵安新区,378051.64
201910271255,850,贵安新区,贵安新区,377644.55
201910271300,850,贵安新区,贵安新区,369325.47
201910271305,850,贵安新区,贵安新区,364769.77
201910271310,850,贵安新区,贵安新区,359537.67
201910271315,850,贵安新区,贵安新区,351566.04
201910271320,850,贵安新区,贵安新区,355050.87
201910271325,850,贵安新区,贵安新区,367768.85
201910271330,850,贵安新区,贵安新区,347854.76
201910271335,850,贵安新区,贵安新区,344604.23
201910271340,850,贵安新区,贵安新区,341039.70
201910271345,850,贵安新区,贵安新区,335733.32
201910271350,850,贵安新区,贵安新区,338174.33
201910271355,850,贵安新区,贵安新区,338878.01
201910271400,850,贵安新区,贵安新区,337932.91
201910271405,850,贵安新区,贵安新区,336828.62
201910271410,850,贵安新区,贵安新区,335206.59
201910271415,850,贵安新区,贵安新区,332351.91
201910271420,850,贵安新区,贵安新区,329226.71
201910271425,850,贵安新区,贵安新区,330498.37
201910271430,850,贵安新区,贵安新区,331885.25
201910271435,850,贵安新区,贵安新区,338157.64
201910271440,850,贵安新区,贵安新区,329352.58
201910271445,850,贵安新区,贵安新区,338284.18
201910271450,850,贵安新区,贵安新区,326141.44
201910271455,850,贵安新区,贵安新区,333115.95
201910271500,850,贵安新区,贵安新区,340214.83
201910271505,850,贵安新区,贵安新区,340243.71
201910271510,850,贵安新区,贵安新区,334032.44
201910271515,850,贵安新区,贵安新区,333067.99
201910271520,850,贵安新区,贵安新区,332610.14
201910271525,850,贵安新区,贵安新区,342727.08
201910271530,850,贵安新区,贵安新区,338322.01
201910271535,850,贵安新区,贵安新区,336228.27
201910271540,850,贵安新区,贵安新区,341478.35
201910271545,850,贵安新区,贵安新区,340966.19
201910271550,850,贵安新区,贵安新区,343127.30
201910271555,850,贵安新区,贵安新区,337756.08
201910271600,850,贵安新区,贵安新区,339541.16
