日期,编码,地区,业务类型,流量
201907221830,851,贵阳,乌当区,305594.52
201907221845,851,贵阳,乌当区,298178.66
201907231015,851,贵阳,乌当区,218208.55
201907231240,851,贵阳,乌当区,337856.94
201907231515,851,贵阳,乌当区,320984.34
201907231850,851,贵阳,乌当区,330218.60
201907232150,851,贵阳,乌当区,435222.89
201907241850,851,贵阳,乌当区,330931.33
201907250820,851,贵阳,乌当区,200921.89
201907251000,851,贵阳,乌当区,246142.39
201907251115,851,贵阳,乌当区,279679.16
201907251505,851,贵阳,乌当区,277506.30
201907251555,851,贵阳,乌当区,298673.72
201907252035,851,贵阳,乌当区,369544.48
201907252155,851,贵阳,乌当区,426929.86
201907261605,851,贵阳,乌当区,301974.49
201907261615,851,贵阳,乌当区,306752.06
201907261755,851,贵阳,乌当区,305908.60
201907271105,851,贵阳,乌当区,280805.89
201907271305,851,贵阳,乌当区,320346.63
201907271315,851,贵阳,乌当区,317107.02
201907272000,851,贵阳,乌当区,356983.41
201907272055,851,贵阳,乌当区,385752.97
201907272255,851,贵阳,乌当区,395055.84
201907280950,851,贵阳,乌当区,258736.29
201907281810,851,贵阳,乌当区,320667.83
201907281935,851,贵阳,乌当区,332580.25
201907282000,851,贵阳,乌当区,330745.94
201907282005,851,贵阳,乌当区,350642.44
201907282015,851,贵阳,乌当区,352453.54
201907282025,851,贵阳,乌当区,356325.37
201907282040,851,贵阳,乌当区,389140.81
201907282110,851,贵阳,乌当区,401452.18
201907282305,851,贵阳,乌当区,393250.70
201907291255,851,贵阳,乌当区,330868.23
201907291530,851,贵阳,乌当区,296764.46
201907291540,851,贵阳,乌当区,291004.05
201907291630,851,贵阳,乌当区,290066.84
201907291710,851,贵阳,乌当区,299768.76
201907291815,851,贵阳,乌当区,299796.92
201907292000,851,贵阳,乌当区,352479.42
201907292115,851,贵阳,乌当区,394286.38
201907300910,851,贵阳,乌当区,218690.33
201907301150,851,贵阳,乌当区,298690.65
201907301640,851,贵阳,乌当区,303802.19
201907301725,851,贵阳,乌当区,287715.21
201907302000,851,贵阳,乌当区,351857.49
201907302320,851,贵阳,乌当区,323028.04
201907310920,851,贵阳,乌当区,224945.62
201907311225,851,贵阳,乌当区,333686.23
201907311315,851,贵阳,乌当区,322380.46
201907311600,851,贵阳,乌当区,309419.51
201907312110,851,贵阳,乌当区,422153.92
201908011030,851,贵阳,乌当区,304323.48
201908011245,851,贵阳,乌当区,391735.36
201908011805,851,贵阳,乌当区,360392.45
201908011825,851,贵阳,乌当区,372308.76
201908011940,851,贵阳,乌当区,382476.39
201908012015,851,贵阳,乌当区,414031.17
201908012150,851,贵阳,乌当区,478870.31
201908012205,851,贵阳,乌当区,490962.82
201908012300,851,贵阳,乌当区,436527.44
201908021100,851,贵阳,乌当区,321207.12
201908021115,851,贵阳,乌当区,328555.50
201908021140,851,贵阳,乌当区,328310.80
201908021225,851,贵阳,乌当区,366797.56
201908021230,851,贵阳,乌当区,362899.61
201908021330,851,贵阳,乌当区,348297.71
201908021610,851,贵阳,乌当区,343364.24
201908021740,851,贵阳,乌当区,352796.08
201908021900,851,贵阳,乌当区,376599.84
201908021905,851,贵阳,乌当区,381847.50
201908022050,851,贵阳,乌当区,458711.49
201908022140,851,贵阳,乌当区,474616.19
201908030840,851,贵阳,乌当区,238833.35
201908031335,851,贵阳,乌当区,341535.47
201908031720,851,贵阳,乌当区,340585.37
201908032330,851,贵阳,乌当区,395560.70
201908041305,851,贵阳,乌当区,353046.63
201908041320,851,贵阳,乌当区,336889.80
201908041430,851,贵阳,乌当区,349609.63
201908041825,851,贵阳,乌当区,384042.40
201908042210,851,贵阳,乌当区,445368.06
201908042340,851,贵阳,乌当区,354727.33
201908042345,851,贵阳,乌当区,344613.55
201908050915,851,贵阳,乌当区,239666.20
201908051450,851,贵阳,乌当区,307087.22
201908051455,851,贵阳,乌当区,310861.30
201908051550,851,贵阳,乌当区,324189.49
201908051625,851,贵阳,乌当区,312064.81
201908051915,851,贵阳,乌当区,338790.62
201908052015,851,贵阳,乌当区,401817.22
201908052145,851,贵阳,乌当区,422343.92
201908052220,851,贵阳,乌当区,416208.80
201908060810,851,贵阳,乌当区,213079.87
201908060945,851,贵阳,乌当区,247956.59
201908061150,851,贵阳,乌当区,312923.16
201908061420,851,贵阳,乌当区,300070.20
201908061615,851,贵阳,乌当区,313584.13
201908061850,851,贵阳,乌当区,334844.95
201908062050,851,贵阳,乌当区,431866.56
201908062345,851,贵阳,乌当区,349556.57
201908070830,851,贵阳,乌当区,215146.32
201908071100,851,贵阳,乌当区,291940.87
201908071505,851,贵阳,乌当区,305517.83
201908071645,851,贵阳,乌当区,322163.92
201908072130,851,贵阳,乌当区,432640.70
201908081430,851,贵阳,乌当区,311279.31
201908081725,851,贵阳,乌当区,324346.10
201908081755,851,贵阳,乌当区,321548.57
201908081800,851,贵阳,乌当区,323813.26
201908081815,851,贵阳,乌当区,322363.65
201908082040,851,贵阳,乌当区,418369.24
201908090820,851,贵阳,乌当区,208813.94
201908091340,851,贵阳,乌当区,340281.59
201910270800,851,贵阳,乌当区,182193.13
201910270805,851,贵阳,乌当区,193163.82
201910270810,851,贵阳,乌当区,191118.67
201910270815,851,贵阳,乌当区,196240.79
201910270820,851,贵阳,乌当区,202229.19
201910270825,851,贵阳,乌当区,210186.63
201910270830,851,贵阳,乌当区,224157.76
201910270835,851,贵阳,乌当区,225650.75
201910270840,851,贵阳,乌当区,222835.83
201910270845,851,贵阳,乌当区,233980.78
201910270850,851,贵阳,乌当区,233340.12
201910270855,851,贵阳,乌当区,229908.33
201910270900,851,贵阳,乌当区,239662.41
201910270905,851,贵阳,乌当区,244597.52
201910270910,851,贵阳,乌当区,248349.89
201910270915,851,贵阳,乌当区,250840.18
201910270920,851,贵阳,乌当区,258327.61
201910270925,851,贵阳,乌当区,256854.64
201910270930,851,贵阳,乌当区,272109.26
201910270935,851,贵阳,乌当区,274867.78
201910270940,851,贵阳,乌当区,272514.49
201910270945,851,贵阳,乌当区,280885.11
201910270950,851,贵阳,乌当区,282552.91
201910270955,851,贵阳,乌当区,287099.73
201910271000,851,贵阳,乌当区,293429.52
