日期,编码,地区,业务类型,流量
201907221830,855,黔东南,丹寨县,101565.79
201907221845,855,黔东南,丹寨县,97341.78
201907231015,855,黔东南,丹寨县,79486.08
201907231240,855,黔东南,丹寨县,111532.33
201907231515,855,黔东南,丹寨县,99480.50
201907231850,855,黔东南,丹寨县,96415.65
201907232150,855,黔东南,丹寨县,144908.21
201907241850,855,黔东南,丹寨县,102334.18
201907250820,855,黔东南,丹寨县,65083.24
201907251000,855,黔东南,丹寨县,92754.10
201907251115,855,黔东南,丹寨县,94902.32
201907251505,855,黔东南,丹寨县,106168.61
201907251555,855,黔东南,丹寨县,102752.45
201907252035,855,黔东南,丹寨县,120634.57
201907252155,855,黔东南,丹寨县,152486.67
201907261605,855,黔东南,丹寨县,116111.07
201907261615,855,黔东南,丹寨县,108561.65
201907261755,855,黔东南,丹寨县,109755.35
201907271105,855,黔东南,丹寨县,101606.85
201907271305,855,黔东南,丹寨县,117279.94
201907271315,855,黔东南,丹寨县,115926.90
201907272000,855,黔东南,丹寨县,103166.46
201907272055,855,黔东南,丹寨县,124727.93
201907272255,855,黔东南,丹寨县,142903.44
201907280950,855,黔东南,丹寨县,91377.75
201907281810,855,黔东南,丹寨县,104065.74
201907281935,855,黔东南,丹寨县,103272.69
201907282000,855,黔东南,丹寨县,109240.52
201907282005,855,黔东南,丹寨县,107221.47
201907282015,855,黔东南,丹寨县,109775.46
201907282025,855,黔东南,丹寨县,111665.57
201907282040,855,黔东南,丹寨县,121607.36
201907282110,855,黔东南,丹寨县,129560.62
201907282305,855,黔东南,丹寨县,132021.33
201907291255,855,黔东南,丹寨县,115290.48
201907291530,855,黔东南,丹寨县,98163.58
201907291540,855,黔东南,丹寨县,101579.13
201907291630,855,黔东南,丹寨县,100070.69
201907291710,855,黔东南,丹寨县,102523.48
201907291815,855,黔东南,丹寨县,98950.17
201907292000,855,黔东南,丹寨县,106640.03
201907292115,855,黔东南,丹寨县,137083.56
201907300910,855,黔东南,丹寨县,82962.47
201907301150,855,黔东南,丹寨县,99969.40
201907301640,855,黔东南,丹寨县,105528.74
201907301725,855,黔东南,丹寨县,101537.78
201907302000,855,黔东南,丹寨县,112175.15
201907302320,855,黔东南,丹寨县,113469.55
201907310920,855,黔东南,丹寨县,84516.89
201907311225,855,黔东南,丹寨县,116848.64
201907311315,855,黔东南,丹寨县,117067.99
201907311600,855,黔东南,丹寨县,106426.48
201907312110,855,黔东南,丹寨县,151026.17
201908011030,855,黔东南,丹寨县,110123.53
201908011245,855,黔东南,丹寨县,134839.40
201908011805,855,黔东南,丹寨县,126282.49
201908011825,855,黔东南,丹寨县,128374.16
201908011940,855,黔东南,丹寨县,139724.42
201908012015,855,黔东南,丹寨县,152255.07
