日期,编码,地区,业务类型,流量
201907221830,855,黔东南,剑河县,148950.44
201907221845,855,黔东南,剑河县,141737.41
201907231015,855,黔东南,剑河县,119505.85
201907231240,855,黔东南,剑河县,172468.16
201907231515,855,黔东南,剑河县,148936.90
201907231850,855,黔东南,剑河县,152384.05
201907232150,855,黔东南,剑河县,222571.59
201907241850,855,黔东南,剑河县,155592.05
201907250820,855,黔东南,剑河县,92908.99
201907251000,855,黔东南,剑河县,136319.29
201907251115,855,黔东南,剑河县,148613.52
201907251505,855,黔东南,剑河县,155873.78
201907251555,855,黔东南,剑河县,153114.65
201907252035,855,黔东南,剑河县,176092.57
201907252155,855,黔东南,剑河县,210566.04
201907261605,855,黔东南,剑河县,155421.75
201907261615,855,黔东南,剑河县,157929.88
201907261755,855,黔东南,剑河县,154178.73
201907271105,855,黔东南,剑河县,146762.45
201907271305,855,黔东南,剑河县,171518.76
201907271315,855,黔东南,剑河县,175634.84
201907272000,855,黔东南,剑河县,158360.93
201907272055,855,黔东南,剑河县,197406.19
201907272255,855,黔东南,剑河县,211132.89
201907280950,855,黔东南,剑河县,139479.28
201907281810,855,黔东南,剑河县,147793.76
201907281935,855,黔东南,剑河县,153626.77
201907282000,855,黔东南,剑河县,162246.89
201907282005,855,黔东南,剑河县,167327.04
201907282015,855,黔东南,剑河县,170270.89
201907282025,855,黔东南,剑河县,176226.68
201907282040,855,黔东南,剑河县,186772.33
201907282110,855,黔东南,剑河县,203522.67
201907282305,855,黔东南,剑河县,197619.11
201907291255,855,黔东南,剑河县,174320.18
201907291530,855,黔东南,剑河县,141875.26
201907291540,855,黔东南,剑河县,148706.58
201907291630,855,黔东南,剑河县,146410.94
201907291710,855,黔东南,剑河县,150307.34
201907291815,855,黔东南,剑河县,145790.59
201907292000,855,黔东南,剑河县,161373.46
201907292115,855,黔东南,剑河县,214237.68
201907300910,855,黔东南,剑河县,122703.30
201907301150,855,黔东南,剑河县,164725.23
201907301640,855,黔东南,剑河县,161854.44
201907301725,855,黔东南,剑河县,143433.45
201907302000,855,黔东南,剑河县,171050.19
201907302320,855,黔东南,剑河县,161897.90
201907310920,855,黔东南,剑河县,124117.65
201907311225,855,黔东南,剑河县,170139.46
201907311315,855,黔东南,剑河县,172107.38
201907311600,855,黔东南,剑河县,160752.65
201907312110,855,黔东南,剑河县,222832.51
201908011030,855,黔东南,剑河县,159319.77
201908011245,855,黔东南,剑河县,210041.90
201908011805,855,黔东南,剑河县,186958.07
201908011825,855,黔东南,剑河县,183030.18
201908011940,855,黔东南,剑河县,190515.86
201908012015,855,黔东南,剑河县,205547.75
201908012150,855,黔东南,剑河县,253306.26
201908012205,855,黔东南,剑河县,241434.61
201908012300,855,黔东南,剑河县,233407.15
201908021100,855,黔东南,剑河县,159800.24
201908021115,855,黔东南,剑河县,169272.05
201908021140,855,黔东南,剑河县,161285.11
201908021225,855,黔东南,剑河县,184676.98
201908021230,855,黔东南,剑河县,201595.88
201908021330,855,黔东南,剑河县,185680.00
201908021610,855,黔东南,剑河县,165680.15
201908021740,855,黔东南,剑河县,172956.55
201908021900,855,黔东南,剑河县,181220.26
201908021905,855,黔东南,剑河县,186373.49
201908022050,855,黔东南,剑河县,229520.21
201908022140,855,黔东南,剑河县,242336.60
201908030840,855,黔东南,剑河县,128657.67
201908031335,855,黔东南,剑河县,186020.72
201908031720,855,黔东南,剑河县,168078.40
201908032330,855,黔东南,剑河县,193684.78
201908041305,855,黔东南,剑河县,193235.04
201908041320,855,黔东南,剑河县,186651.16
201908041430,855,黔东南,剑河县,180898.56
201908041825,855,黔东南,剑河县,180735.84
201908042210,855,黔东南,剑河县,241968.86
201908042340,855,黔东南,剑河县,166720.32
201908042345,855,黔东南,剑河县,165087.05
201908050915,855,黔东南,剑河县,124378.74
201908051450,855,黔东南,剑河县,167956.67
201908051455,855,黔东南,剑河县,167075.98
201908051550,855,黔东南,剑河县,164304.57
201908051625,855,黔东南,剑河县,164671.50
201908051915,855,黔东南,剑河县,169303.94
201908052015,855,黔东南,剑河县,195316.60
201908052145,855,黔东南,剑河县,241934.35
201908052220,855,黔东南,剑河县,236856.33
201908060810,855,黔东南,剑河县,104383.80
201908060945,855,黔东南,剑河县,137696.44
201908061150,855,黔东南,剑河县,161965.81
201908061420,855,黔东南,剑河县,165685.34
201908061615,855,黔东南,剑河县,166802.51
201908061850,855,黔东南,剑河县,177000.90
201908062050,855,黔东南,剑河县,226592.09
201908062345,855,黔东南,剑河县,165729.96
201908070830,855,黔东南,剑河县,108063.20
201908071100,855,黔东南,剑河县,149530.72
201908071505,855,黔东南,剑河县,168547.85
201908071645,855,黔东南,剑河县,171944.18
201908072130,855,黔东南,剑河县,247403.43
201908081430,855,黔东南,剑河县,177749.44
201908081725,855,黔东南,剑河县,161358.89
201908081755,855,黔东南,剑河县,161588.48
201908081800,855,黔东南,剑河县,168321.10
201908081815,855,黔东南,剑河县,165382.45
201908082040,855,黔东南,剑河县,217594.02
201908090820,855,黔东南,剑河县,105691.68
201908091340,855,黔东南,剑河县,190008.21
201910270800,855,黔东南,剑河县,107579.71
201910270805,855,黔东南,剑河县,109196.97
201910270810,855,黔东南,剑河县,114754.12
201910270815,855,黔东南,剑河县,119072.09
201910270820,855,黔东南,剑河县,125668.19
201910270825,855,黔东南,剑河县,127479.66
201910270830,855,黔东南,剑河县,131123.33
201910270835,855,黔东南,剑河县,126386.59
201910270840,855,黔东南,剑河县,133754.39
201910270845,855,黔东南,剑河县,134709.08
201910270850,855,黔东南,剑河县,138860.53
201910270855,855,黔东南,剑河县,139242.54
201910270900,855,黔东南,剑河县,146831.94
201910270905,855,黔东南,剑河县,148151.81
201910270910,855,黔东南,剑河县,144902.91
201910270915,855,黔东南,剑河县,151556.53
201910270920,855,黔东南,剑河县,152901.59
201910270925,855,黔东南,剑河县,148111.15
201910270930,855,黔东南,剑河县,154234.83
201910270935,855,黔东南,剑河县,153345.48
201910270940,855,黔东南,剑河县,159150.67
201910270945,855,黔东南,剑河县,153257.63
201910270950,855,黔东南,剑河县,160170.10
201910270955,855,黔东南,剑河县,158745.63
201910271000,855,黔东南,剑河县,162465.83
201910271005,855,黔东南,剑河县,161408.74
201910271010,855,黔东南,剑河县,165989.34
201910271015,855,黔东南,剑河县,163991.56
201910271020,855,黔东南,剑河县,165839.21
201910271025,855,黔东南,剑河县,167552.49
201910271030,855,黔东南,剑河县,167228.08
201910271035,855,黔东南,剑河县,177969.81
201910271040,855,黔东南,剑河县,172296.21
201910271045,855,黔东南,剑河县,169455.07
201910271050,855,黔东南,剑河县,173389.00
201910271055,855,黔东南,剑河县,169043.89
201910271100,855,黔东南,剑河县,173399.83
201910271105,855,黔东南,剑河县,170514.74
