日期,编码,地区,业务类型,流量
201907221830,855,黔东南,榕江县,237789.21
201907221845,855,黔东南,榕江县,225778.27
201907231015,855,黔东南,榕江县,177885.92
201907231240,855,黔东南,榕江县,265217.97
201907231515,855,黔东南,榕江县,235978.38
201907231850,855,黔东南,榕江县,245891.02
201907232150,855,黔东南,榕江县,357127.78
201907241850,855,黔东南,榕江县,238668.18
201907250820,855,黔东南,榕江县,152750.01
201907251000,855,黔东南,榕江县,207814.43
201907251115,855,黔东南,榕江县,250485.96
201907251505,855,黔东南,榕江县,242824.54
201907251555,855,黔东南,榕江县,242110.40
201907252035,855,黔东南,榕江县,296224.15
201907252155,855,黔东南,榕江县,356487.65
201907261605,855,黔东南,榕江县,244884.10
201907261615,855,黔东南,榕江县,241017.48
201907261755,855,黔东南,榕江县,243384.83
201907271105,855,黔东南,榕江县,222913.34
201907271305,855,黔东南,榕江县,276805.58
201907271315,855,黔东南,榕江县,270471.63
201907272000,855,黔东南,榕江县,255957.70
201907272055,855,黔东南,榕江县,309530.82
201907272255,855,黔东南,榕江县,360043.21
201907280950,855,黔东南,榕江县,204772.55
201907281810,855,黔东南,榕江县,236920.96
201907281935,855,黔东南,榕江县,231066.99
201907282000,855,黔东南,榕江县,255896.33
201907282005,855,黔东南,榕江县,259343.20
201907282015,855,黔东南,榕江县,265748.17
201907282025,855,黔东南,榕江县,279099.13
201907282040,855,黔东南,榕江县,297884.13
201907282110,855,黔东南,榕江县,320876.44
201907282305,855,黔东南,榕江县,322353.24
201907291255,855,黔东南,榕江县,275957.46
201907291530,855,黔东南,榕江县,231349.37
201907291540,855,黔东南,榕江县,230291.13
201907291630,855,黔东南,榕江县,230279.75
201907291710,855,黔东南,榕江县,228650.70
201907291815,855,黔东南,榕江县,227780.98
201907292000,855,黔东南,榕江县,253842.57
201907292115,855,黔东南,榕江县,334858.20
201907300910,855,黔东南,榕江县,179695.74
201907301150,855,黔东南,榕江县,256187.43
201907301640,855,黔东南,榕江县,249723.06
201907301725,855,黔东南,榕江县,230407.00
201907302000,855,黔东南,榕江县,269030.91
201907302320,855,黔东南,榕江县,256480.08
201907310920,855,黔东南,榕江县,183036.52
201907311225,855,黔东南,榕江县,278362.83
201907311315,855,黔东南,榕江县,275228.33
201907311600,855,黔东南,榕江县,242784.25
201907312110,855,黔东南,榕江县,349867.68
201908011030,855,黔东南,榕江县,254090.64
201908011245,855,黔东南,榕江县,305120.10
201908011805,855,黔东南,榕江县,295077.05
201908011825,855,黔东南,榕江县,287110.90
201908011940,855,黔东南,榕江县,308744.77
201908012015,855,黔东南,榕江县,350437.83
201908012150,855,黔东南,榕江县,408293.39
201908012205,855,黔东南,榕江县,397135.76
201908012300,855,黔东南,榕江县,375339.28
201908021100,855,黔东南,榕江县,261812.34
201908021115,855,黔东南,榕江县,260513.80
201908021140,855,黔东南,榕江县,260989.78
201908021225,855,黔东南,榕江县,298663.01
201908021230,855,黔东南,榕江县,289969.68
201908021330,855,黔东南,榕江县,276257.22
201908021610,855,黔东南,榕江县,267563.37
201908021740,855,黔东南,榕江县,263077.41
201908021900,855,黔东南,榕江县,282669.29
201908021905,855,黔东南,榕江县,288319.16
201908022050,855,黔东南,榕江县,378279.97
201908022140,855,黔东南,榕江县,400069.88
201908030840,855,黔东南,榕江县,182920.94
201908031335,855,黔东南,榕江县,280910.57
201908031720,855,黔东南,榕江县,276067.88
201908032330,855,黔东南,榕江县,308109.35
201908041305,855,黔东南,榕江县,285640.76
201908041320,855,黔东南,榕江县,284392.50
201908041430,855,黔东南,榕江县,266973.37
201908041825,855,黔东南,榕江县,253506.60
201908042210,855,黔东南,榕江县,399840.69
201908042340,855,黔东南,榕江县,279499.15
201908042345,855,黔东南,榕江县,275356.62
201908050915,855,黔东南,榕江县,189125.53
201908051450,855,黔东南,榕江县,262689.54
201908051455,855,黔东南,榕江县,253981.43
201908051550,855,黔东南,榕江县,255973.36
201908051625,855,黔东南,榕江县,257095.45
201908051915,855,黔东南,榕江县,269667.97
201908052015,855,黔东南,榕江县,312076.38
201908052145,855,黔东南,榕江县,394064.61
201908052220,855,黔东南,榕江县,383095.51
201908060810,855,黔东南,榕江县,158327.87
201908060945,855,黔东南,榕江县,217332.64
201908061150,855,黔东南,榕江县,258948.65
201908061420,855,黔东南,榕江县,260269.06
201908061615,855,黔东南,榕江县,249565.27
201908061850,855,黔东南,榕江县,253529.69
201908062050,855,黔东南,榕江县,350557.07
201908062345,855,黔东南,榕江县,282973.40
201908070830,855,黔东南,榕江县,167179.88
201908071100,855,黔东南,榕江县,248480.30
201908071505,855,黔东南,榕江县,261203.14
201908071645,855,黔东南,榕江县,262652.81
201908072130,855,黔东南,榕江县,416647.84
201908081430,855,黔东南,榕江县,269458.63
201908081725,855,黔东南,榕江县,254384.08
201908081755,855,黔东南,榕江县,255276.41
201908081800,855,黔东南,榕江县,259312.42
201908081815,855,黔东南,榕江县,253973.36
201908082040,855,黔东南,榕江县,345345.98
201908090820,855,黔东南,榕江县,163855.14
201908091340,855,黔东南,榕江县,281077.94
201910270800,855,黔东南,榕江县,142172.39
201910270805,855,黔东南,榕江县,149280.30
201910270810,855,黔东南,榕江县,155747.99
201910270815,855,黔东南,榕江县,154981.80
201910270820,855,黔东南,榕江县,157497.85
201910270825,855,黔东南,榕江县,156687.89
201910270830,855,黔东南,榕江县,165702.97
201910270835,855,黔东南,榕江县,168116.42
201910270840,855,黔东南,榕江县,170013.26
201910270845,855,黔东南,榕江县,166099.02
201910270850,855,黔东南,榕江县,174215.49
201910270855,855,黔东南,榕江县,179016.27
201910270900,855,黔东南,榕江县,189764.54
201910270905,855,黔东南,榕江县,186140.35
201910270910,855,黔东南,榕江县,184504.98
201910270915,855,黔东南,榕江县,186486.45
201910270920,855,黔东南,榕江县,194177.73
201910270925,855,黔东南,榕江县,187455.35
201910270930,855,黔东南,榕江县,207776.74
201910270935,855,黔东南,榕江县,201128.36
201910270940,855,黔东南,榕江县,207983.62
201910270945,855,黔东南,榕江县,211676.67
201910270950,855,黔东南,榕江县,217658.57
201910270955,855,黔东南,榕江县,211859.41
201910271000,855,黔东南,榕江县,208400.67
201910271005,855,黔东南,榕江县,216903.54
201910271010,855,黔东南,榕江县,212214.55
201910271015,855,黔东南,榕江县,216354.41
201910271020,855,黔东南,榕江县,222020.87
201910271025,855,黔东南,榕江县,219265.38
201910271030,855,黔东南,榕江县,226605.58
201910271035,855,黔东南,榕江县,233688.90
201910271040,855,黔东南,榕江县,230181.86
201910271045,855,黔东南,榕江县,228749.38
201910271050,855,黔东南,榕江县,228477.70
201910271055,855,黔东南,榕江县,233277.55
201910271100,855,黔东南,榕江县,224770.03
201910271105,855,黔东南,榕江县,231347.54
201910271110,855,黔东南,榕江县,224876.24
201910271115,855,黔东南,榕江县,223574.18
201910271120,855,黔东南,榕江县,237203.30
201910271125,855,黔东南,榕江县,228392.71
201910271130,855,黔东南,榕江县,230412.93
201910271135,855,黔东南,榕江县,235456.52
201910271140,855,黔东南,榕江县,237757.17
201910271145,855,黔东南,榕江县,237763.47
201910271150,855,黔东南,榕江县,241697.42
201910271155,855,黔东南,榕江县,253472.29
201910271200,855,黔东南,榕江县,235206.83
201910271205,855,黔东南,榕江县,254987.42
201910271210,855,黔东南,榕江县,252416.33
201910271215,855,黔东南,榕江县,258905.58
201910271220,855,黔东南,榕江县,256401.25
201910271225,855,黔东南,榕江县,268094.83
201910271230,855,黔东南,榕江县,272607.26
201910271235,855,黔东南,榕江县,267328.94
201910271240,855,黔东南,榕江县,268164.73
201910271245,855,黔东南,榕江县,260464.18
201910271250,855,黔东南,榕江县,270540.45
201910271255,855,黔东南,榕江县,251235.76
201910271300,855,黔东南,榕江县,259691.04
201910271305,855,黔东南,榕江县,253354.50
201910271310,855,黔东南,榕江县,262820.80
201910271315,855,黔东南,榕江县,253613.47
201910271320,855,黔东南,榕江县,253372.10
201910271325,855,黔东南,榕江县,251101.42
201910271330,855,黔东南,榕江县,243597.78
201910271335,855,黔东南,榕江县,245751.22
201910271340,855,黔东南,榕江县,237676.45
201910271345,855,黔东南,榕江县,244295.15
201910271350,855,黔东南,榕江县,235638.67
