日期,编码,地区,业务类型,流量
201907221830,855,黔东南,岑巩县,119988.49
201907221845,855,黔东南,岑巩县,120601.66
201907231015,855,黔东南,岑巩县,106385.31
201907231240,855,黔东南,岑巩县,147134.30
201907231515,855,黔东南,岑巩县,129255.18
201907231850,855,黔东南,岑巩县,128084.67
201907232150,855,黔东南,岑巩县,192413.12
201907241850,855,黔东南,岑巩县,142704.20
201907250820,855,黔东南,岑巩县,86350.43
201907251000,855,黔东南,岑巩县,111661.93
201907251115,855,黔东南,岑巩县,128114.50
201907251505,855,黔东南,岑巩县,136466.18
201907251555,855,黔东南,岑巩县,127980.07
201907252035,855,黔东南,岑巩县,160419.93
201907252155,855,黔东南,岑巩县,187799.90
201907261605,855,黔东南,岑巩县,137936.09
201907261615,855,黔东南,岑巩县,135543.39
201907261755,855,黔东南,岑巩县,136013.31
201907271105,855,黔东南,岑巩县,134094.15
201907271305,855,黔东南,岑巩县,148502.97
201907271315,855,黔东南,岑巩县,153229.82
201907272000,855,黔东南,岑巩县,137497.60
201907272055,855,黔东南,岑巩县,178449.42
201907272255,855,黔东南,岑巩县,176440.96
201907280950,855,黔东南,岑巩县,119528.98
201907281810,855,黔东南,岑巩县,123706.04
201907281935,855,黔东南,岑巩县,129260.83
201907282000,855,黔东南,岑巩县,138037.68
201907282005,855,黔东南,岑巩县,141365.85
201907282015,855,黔东南,岑巩县,145620.22
201907282025,855,黔东南,岑巩县,153134.07
201907282040,855,黔东南,岑巩县,160245.25
201907282110,855,黔东南,岑巩县,177554.21
201907282305,855,黔东南,岑巩县,160328.59
201907291255,855,黔东南,岑巩县,152571.04
201907291530,855,黔东南,岑巩县,127162.26
201907291540,855,黔东南,岑巩县,126072.41
201907291630,855,黔东南,岑巩县,127666.43
201907291710,855,黔东南,岑巩县,129635.06
201907291815,855,黔东南,岑巩县,120232.57
201907292000,855,黔东南,岑巩县,137684.75
201907292115,855,黔东南,岑巩县,185232.08
201907300910,855,黔东南,岑巩县,98311.17
201907301150,855,黔东南,岑巩县,135894.98
201907301640,855,黔东南,岑巩县,134144.02
201907301725,855,黔东南,岑巩县,121616.38
201907302000,855,黔东南,岑巩县,151491.14
201907302320,855,黔东南,岑巩县,122009.26
201907310920,855,黔东南,岑巩县,106667.93
201907311225,855,黔东南,岑巩县,148099.84
201907311315,855,黔东南,岑巩县,149977.49
201907311600,855,黔东南,岑巩县,138800.79
201907312110,855,黔东南,岑巩县,181515.38
201908011030,855,黔东南,岑巩县,140671.96
201908011245,855,黔东南,岑巩县,179745.98
201908011805,855,黔东南,岑巩县,152613.20
201908011825,855,黔东南,岑巩县,148105.52
