日期,编码,地区,业务类型,流量
201907221830,858,六盘水,水城县,320861.95
201907221845,858,六盘水,水城县,285109.88
201907231015,858,六盘水,水城县,256622.51
201907231240,858,六盘水,水城县,349962.71
201907231515,858,六盘水,水城县,314589.98
201907231850,858,六盘水,水城县,316799.47
201907232150,858,六盘水,水城县,467036.74
201907241850,858,六盘水,水城县,350359.95
201907250820,858,六盘水,水城县,219124.33
201907251000,858,六盘水,水城县,267996.42
201907251115,858,六盘水,水城县,301531.65
201907251505,858,六盘水,水城县,327610.65
201907251555,858,六盘水,水城县,318322.08
201907252035,858,六盘水,水城县,406239.89
201907252155,858,六盘水,水城县,468377.62
201907261605,858,六盘水,水城县,318552.21
201907261615,858,六盘水,水城县,326146.09
201907261755,858,六盘水,水城县,335238.11
201907271105,858,六盘水,水城县,305455.72
201907271305,858,六盘水,水城县,365304.08
201907271315,858,六盘水,水城县,357328.95
201907272000,858,六盘水,水城县,354059.43
201907272055,858,六盘水,水城县,434131.43
201907272255,858,六盘水,水城县,464061.80
201907280950,858,六盘水,水城县,282562.55
201907281810,858,六盘水,水城县,323400.21
201907281935,858,六盘水,水城县,331466.15
201907282000,858,六盘水,水城县,357731.89
201907282005,858,六盘水,水城县,357609.20
201907282015,858,六盘水,水城县,380055.75
201907282025,858,六盘水,水城县,397105.03
201907282040,858,六盘水,水城县,413357.16
201907282110,858,六盘水,水城县,441084.00
201907282305,858,六盘水,水城县,416555.17
201907291255,858,六盘水,水城县,361725.51
201907291530,858,六盘水,水城县,316146.00
201907291540,858,六盘水,水城县,323749.14
201907291630,858,六盘水,水城县,309138.88
201907291710,858,六盘水,水城县,314522.71
201907291815,858,六盘水,水城县,305581.46
201907292000,858,六盘水,水城县,363261.37
201907292115,858,六盘水,水城县,458152.53
201907300910,858,六盘水,水城县,250236.73
201907301150,858,六盘水,水城县,318744.24
201907301640,858,六盘水,水城县,324410.23
201907301725,858,六盘水,水城县,315887.51
201907302000,858,六盘水,水城县,366521.41
201907302320,858,六盘水,水城县,310695.20
201907310920,858,六盘水,水城县,250748.93
201907311225,858,六盘水,水城县,339831.03
201907311315,858,六盘水,水城县,342988.62
201907311600,858,六盘水,水城县,331423.91
201907312110,858,六盘水,水城县,463758.61
201908011030,858,六盘水,水城县,311047.82
201908011245,858,六盘水,水城县,379450.38
201908011805,858,六盘水,水城县,344280.36
201908011825,858,六盘水,水城县,339334.85
201908011940,858,六盘水,水城县,374811.52
201908012015,858,六盘水,水城县,412629.82
201908012150,858,六盘水,水城县,498277.82
201908012205,858,六盘水,水城县,512768.61
201908012300,858,六盘水,水城县,456409.53
201908021100,858,六盘水,水城县,310321.92
201908021115,858,六盘水,水城县,303515.93
201908021140,858,六盘水,水城县,321264.77
201908021225,858,六盘水,水城县,365577.54
201908021230,858,六盘水,水城县,364334.13
201908021330,858,六盘水,水城县,353749.14
201908021610,858,六盘水,水城县,361680.88
201908021740,858,六盘水,水城县,343291.11
201908021900,858,六盘水,水城县,341118.67
201908021905,858,六盘水,水城县,339271.42
201908022050,858,六盘水,水城县,474118.50
201908022140,858,六盘水,水城县,491281.79
201908030840,858,六盘水,水城县,240318.43
201908031335,858,六盘水,水城县,362482.52
201908031720,858,六盘水,水城县,353146.21
201908032330,858,六盘水,水城县,386567.31
201908041305,858,六盘水,水城县,358085.83
201908041320,858,六盘水,水城县,356599.36
201908041430,858,六盘水,水城县,337086.25
201908041825,858,六盘水,水城县,385086.81
201908042210,858,六盘水,水城县,475780.44
201908042340,858,六盘水,水城县,346974.88
201908042345,858,六盘水,水城县,329133.72
201908050915,858,六盘水,水城县,252043.05
201908051450,858,六盘水,水城县,322838.64
201908051455,858,六盘水,水城县,321422.54
201908051550,858,六盘水,水城县,319995.26
201908051625,858,六盘水,水城县,340309.97
201908051915,858,六盘水,水城县,341022.71
201908052015,858,六盘水,水城县,387600.10
201908052145,858,六盘水,水城县,481282.57
201908052220,858,六盘水,水城县,465443.11
201908060810,858,六盘水,水城县,198828.52
201908060945,858,六盘水,水城县,259090.49
201908061150,858,六盘水,水城县,308706.92
201908061420,858,六盘水,水城县,308148.05
201908061615,858,六盘水,水城县,315619.85
201908061850,858,六盘水,水城县,320711.75
201908062050,858,六盘水,水城县,448189.49
201908062345,858,六盘水,水城县,335735.42
201908070830,858,六盘水,水城县,238048.30
201908071100,858,六盘水,水城县,301775.26
201908071505,858,六盘水,水城县,331073.53
201908071645,858,六盘水,水城县,319841.58
201908072130,858,六盘水,水城县,473364.08
201908081430,858,六盘水,水城县,335503.18
201908081725,858,六盘水,水城县,316461.62
201908081755,858,六盘水,水城县,316738.17
201908081800,858,六盘水,水城县,303033.34
201908081815,858,六盘水,水城县,323704.09
201908082040,858,六盘水,水城县,422904.66
201908090820,858,六盘水,水城县,204800.19
201908091340,858,六盘水,水城县,366343.40
201910270800,858,六盘水,水城县,203857.23
201910270805,858,六盘水,水城县,216772.68
201910270810,858,六盘水,水城县,223007.63
201910270815,858,六盘水,水城县,228157.36
201910270820,858,六盘水,水城县,231714.05
201910270825,858,六盘水,水城县,237389.52
201910270830,858,六盘水,水城县,246801.77
201910270835,858,六盘水,水城县,256989.66
201910270840,858,六盘水,水城县,256749.86
201910270845,858,六盘水,水城县,263643.95
201910270850,858,六盘水,水城县,273995.90
201910270855,858,六盘水,水城县,269089.96
201910270900,858,六盘水,水城县,273976.44
201910270905,858,六盘水,水城县,285936.75
201910270910,858,六盘水,水城县,283267.96
201910270915,858,六盘水,水城县,293867.57
201910270920,858,六盘水,水城县,289405.23
201910270925,858,六盘水,水城县,290852.15
201910270930,858,六盘水,水城县,295212.44
201910270935,858,六盘水,水城县,297305.95
201910270940,858,六盘水,水城县,296838.05
