日期,编码,地区,业务类型,流量
201907221830,856,铜仁,德江县,229838.17
201907221845,856,铜仁,德江县,220413.33
201907231015,856,铜仁,德江县,187188.41
201907231240,856,铜仁,德江县,279739.67
201907231515,856,铜仁,德江县,260041.60
201907231850,856,铜仁,德江县,269285.16
201907232150,856,铜仁,德江县,353827.06
201907241850,856,铜仁,德江县,231703.79
201907250820,856,铜仁,德江县,163814.17
201907251000,856,铜仁,德江县,223047.97
201907251115,856,铜仁,德江县,246704.56
201907251505,856,铜仁,德江县,275925.36
201907251555,856,铜仁,德江县,271684.57
201907252035,856,铜仁,德江县,306001.63
201907252155,856,铜仁,德江县,369000.05
201907261605,856,铜仁,德江县,270315.34
201907261615,856,铜仁,德江县,274434.96
201907261755,856,铜仁,德江县,262566.21
201907271105,856,铜仁,德江县,255687.91
201907271305,856,铜仁,德江县,305704.64
201907271315,856,铜仁,德江县,300905.38
201907272000,856,铜仁,德江县,279340.01
201907272055,856,铜仁,德江县,337311.68
201907272255,856,铜仁,德江县,348760.61
201907280950,856,铜仁,德江县,230598.42
201907281810,856,铜仁,德江县,258844.08
201907281935,856,铜仁,德江县,240389.18
201907282000,856,铜仁,德江县,249102.24
201907282005,856,铜仁,德江县,262193.42
201907282015,856,铜仁,德江县,260630.60
201907282025,856,铜仁,德江县,275982.93
201907282040,856,铜仁,德江县,299074.83
201907282110,856,铜仁,德江县,319819.51
201907282305,856,铜仁,德江县,325614.78
201907291255,856,铜仁,德江县,294776.01
201907291530,856,铜仁,德江县,233485.11
201907291540,856,铜仁,德江县,226016.94
201907291630,856,铜仁,德江县,230747.39
201907291710,856,铜仁,德江县,231984.81
201907291815,856,铜仁,德江县,228553.69
201907292000,856,铜仁,德江县,244385.46
201907292115,856,铜仁,德江县,317535.50
201907300910,856,铜仁,德江县,205386.31
201907301150,856,铜仁,德江县,260360.06
201907301640,856,铜仁,德江县,254846.39
201907301725,856,铜仁,德江县,227057.98
201907302000,856,铜仁,德江县,256991.80
201907302320,856,铜仁,德江县,238705.29
201907310920,856,铜仁,德江县,190862.55
201907311225,856,铜仁,德江县,280689.64
201907311315,856,铜仁,德江县,271504.30
201907311600,856,铜仁,德江县,250259.37
201907312110,856,铜仁,德江县,303635.03
201908011030,856,铜仁,德江县,252007.19
201908011245,856,铜仁,德江县,320390.01
201908011805,856,铜仁,德江县,275392.30
201908011825,856,铜仁,德江县,272462.01
201908011940,856,铜仁,德江县,273339.05
201908012015,856,铜仁,德江县,305302.99
201908012150,856,铜仁,德江县,384665.08
201908012205,856,铜仁,德江县,379012.03
201908012300,856,铜仁,德江县,352548.61
201908021100,856,铜仁,德江县,265673.34
201908021115,856,铜仁,德江县,260834.01
201908021140,856,铜仁,德江县,263621.02
201908021225,856,铜仁,德江县,288614.17
201908021230,856,铜仁,德江县,299811.99
201908021330,856,铜仁,德江县,287466.84
201908021610,856,铜仁,德江县,299274.86
201908021740,856,铜仁,德江县,265189.48
201908021900,856,铜仁,德江县,274623.06
201908021905,856,铜仁,德江县,275294.22
201908022050,856,铜仁,德江县,362247.62
201908022140,856,铜仁,德江县,387832.04
201908030840,856,铜仁,德江县,180361.64
201908031335,856,铜仁,德江县,277539.90
201908031720,856,铜仁,德江县,269864.16
201908032330,856,铜仁,德江县,285916.25
201908041305,856,铜仁,德江县,309687.13
201908041320,856,铜仁,德江县,297221.44
201908041430,856,铜仁,德江县,270892.55
201908041825,856,铜仁,德江县,278563.19
201908042210,856,铜仁,德江县,381464.58
201908042340,856,铜仁,德江县,281863.67
201908042345,856,铜仁,德江县,271377.71
201908050915,856,铜仁,德江县,210565.43
201908051450,856,铜仁,德江县,266445.12
201908051455,856,铜仁,德江县,263860.69
201908051550,856,铜仁,德江县,275576.96
201908051625,856,铜仁,德江县,269971.14
201908051915,856,铜仁,德江县,273910.92
201908052015,856,铜仁,德江县,316922.87
201908052145,856,铜仁,德江县,381371.50
201908052220,856,铜仁,德江县,376941.22
201908060810,856,铜仁,德江县,162903.04
201908060945,856,铜仁,德江县,214358.59
201908061150,856,铜仁,德江县,273409.52
201908061420,856,铜仁,德江县,279109.02
201908061615,856,铜仁,德江县,272362.15
201908061850,856,铜仁,德江县,258781.41
201908062050,856,铜仁,德江县,340329.92
201908062345,856,铜仁,德江县,277253.41
201908070830,856,铜仁,德江县,240929.86
201908071100,856,铜仁,德江县,276951.70
201908071505,856,铜仁,德江县,277367.01
201908071645,856,铜仁,德江县,277756.24
201908072130,856,铜仁,德江县,380523.88
201908081430,856,铜仁,德江县,270088.68
201908081725,856,铜仁,德江县,255675.11
201908081755,856,铜仁,德江县,248559.46
201908081800,856,铜仁,德江县,254779.54
201908081815,856,铜仁,德江县,244188.16
201908082040,856,铜仁,德江县,337319.51
201908090820,856,铜仁,德江县,167315.52
201908091340,856,铜仁,德江县,294148.07
