日期,编码,地区,业务类型,流量
201907221830,856,铜仁,沿河县,187345.30
201907221845,856,铜仁,沿河县,175337.17
201907231015,856,铜仁,沿河县,171032.18
201907231240,856,铜仁,沿河县,238934.39
201907231515,856,铜仁,沿河县,220710.38
201907231850,856,铜仁,沿河县,225898.16
201907232150,856,铜仁,沿河县,292579.49
201907241850,856,铜仁,沿河县,193216.31
201907250820,856,铜仁,沿河县,141971.97
201907251000,856,铜仁,沿河县,196615.44
201907251115,856,铜仁,沿河县,217622.93
201907251505,856,铜仁,沿河县,232534.25
201907251555,856,铜仁,沿河县,226354.46
201907252035,856,铜仁,沿河县,262861.97
201907252155,856,铜仁,沿河县,311041.43
201907261605,856,铜仁,沿河县,233130.02
201907261615,856,铜仁,沿河县,232745.73
201907261755,856,铜仁,沿河县,223281.59
201907271105,856,铜仁,沿河县,221839.11
201907271305,856,铜仁,沿河县,258345.86
201907271315,856,铜仁,沿河县,254357.91
201907272000,856,铜仁,沿河县,230638.92
201907272055,856,铜仁,沿河县,291642.57
201907272255,856,铜仁,沿河县,299411.75
201907280950,856,铜仁,沿河县,196325.83
201907281810,856,铜仁,沿河县,214686.19
201907281935,856,铜仁,沿河县,207986.94
201907282000,856,铜仁,沿河县,217552.39
201907282005,856,铜仁,沿河县,217403.20
201907282015,856,铜仁,沿河县,225041.60
201907282025,856,铜仁,沿河县,234103.27
201907282040,856,铜仁,沿河县,250270.46
201907282110,856,铜仁,沿河县,273091.49
201907282305,856,铜仁,沿河县,272871.67
201907291255,856,铜仁,沿河县,261376.52
201907291530,856,铜仁,沿河县,195736.33
201907291540,856,铜仁,沿河县,195720.35
201907291630,856,铜仁,沿河县,200197.91
201907291710,856,铜仁,沿河县,194015.69
201907291815,856,铜仁,沿河县,188169.59
201907292000,856,铜仁,沿河县,212892.28
201907292115,856,铜仁,沿河县,260545.22
201907300910,856,铜仁,沿河县,166678.93
201907301150,856,铜仁,沿河县,227681.39
201907301640,856,铜仁,沿河县,214697.30
201907301725,856,铜仁,沿河县,178427.48
201907302000,856,铜仁,沿河县,213866.58
201907302320,856,铜仁,沿河县,191454.52
201907310920,856,铜仁,沿河县,164290.08
201907311225,856,铜仁,沿河县,237798.39
201907311315,856,铜仁,沿河县,222594.64
201907311600,856,铜仁,沿河县,210958.74
201907312110,856,铜仁,沿河县,258499.35
201908011030,856,铜仁,沿河县,211160.47
201908011245,856,铜仁,沿河县,271694.73
201908011805,856,铜仁,沿河县,225514.01
201908011825,856,铜仁,沿河县,205922.76
201908011940,856,铜仁,沿河县,233935.93
201908012015,856,铜仁,沿河县,253804.39
201908012150,856,铜仁,沿河县,312549.72
201908012205,856,铜仁,沿河县,327411.45
201908012300,856,铜仁,沿河县,298590.33
201908021100,856,铜仁,沿河县,222210.92
