日期,编码,地区,业务类型,流量
201907221830,852,遵义,播州区,139697.70
201907221845,852,遵义,播州区,137708.30
201907231015,852,遵义,播州区,115368.63
201907231240,852,遵义,播州区,164021.32
201907231515,852,遵义,播州区,147455.99
201907231850,852,遵义,播州区,163825.53
201907232150,852,遵义,播州区,194896.54
201907241850,852,遵义,播州区,151381.69
201907250820,852,遵义,播州区,107426.06
201907251000,852,遵义,播州区,133295.29
201907251115,852,遵义,播州区,151422.21
201907251505,852,遵义,播州区,156966.70
201907251555,852,遵义,播州区,147065.48
201907252035,852,遵义,播州区,178415.16
201907252155,852,遵义,播州区,200446.47
201907261605,852,遵义,播州区,444183.11
201907261615,852,遵义,播州区,451532.81
201907261755,852,遵义,播州区,419816.52
201907271105,852,遵义,播州区,425762.61
201907271305,852,遵义,播州区,470824.09
201907271315,852,遵义,播州区,477035.83
201907272000,852,遵义,播州区,473415.81
201907272055,852,遵义,播州区,551909.64
201907272255,852,遵义,播州区,556396.76
201907280950,852,遵义,播州区,384259.23
201907281810,852,遵义,播州区,424554.66
201907281935,852,遵义,播州区,388414.63
201907282000,852,遵义,播州区,422654.53
201907282005,852,遵义,播州区,429686.61
201907282015,852,遵义,播州区,441252.07
201907282025,852,遵义,播州区,452895.63
201907282040,852,遵义,播州区,486682.71
201907282110,852,遵义,播州区,515216.43
201907282305,852,遵义,播州区,477556.63
201907291255,852,遵义,播州区,471718.80
201907291530,852,遵义,播州区,345985.25
201907291540,852,遵义,播州区,349967.82
201907291630,852,遵义,播州区,368108.20
201907291710,852,遵义,播州区,368227.46
201907291815,852,遵义,播州区,370329.23
201907292000,852,遵义,播州区,412420.97
201907292115,852,遵义,播州区,509661.43
201907300910,852,遵义,播州区,315277.77
201907301150,852,遵义,播州区,412983.36
201907301640,852,遵义,播州区,392772.69
201907301725,852,遵义,播州区,338980.21
201907302000,852,遵义,播州区,424379.98
201907302320,852,遵义,播州区,345194.42
201907310920,852,遵义,播州区,304360.49
201907311225,852,遵义,播州区,444958.59
201907311315,852,遵义,播州区,413932.24
201907311600,852,遵义,播州区,382093.25
201907312110,852,遵义,播州区,491339.69
201908011030,852,遵义,播州区,405135.39
201908011245,852,遵义,播州区,481704.55
201908011805,852,遵义,播州区,453775.88
201908011825,852,遵义,播州区,435292.20
201908011940,852,遵义,播州区,444691.74
201908012015,852,遵义,播州区,502623.85
201908012150,852,遵义,播州区,597073.32
201908012205,852,遵义,播州区,604995.64
201908012300,852,遵义,播州区,533384.22
201908021100,852,遵义,播州区,420802.59
201908021115,852,遵义,播州区,430045.45
201908021140,852,遵义,播州区,437607.58
201908021225,852,遵义,播州区,461678.33
201908021230,852,遵义,播州区,481906.70
201908021330,852,遵义,播州区,458884.00
201908021610,852,遵义,播州区,441802.04
201908021740,852,遵义,播州区,447415.76
201908021900,852,遵义,播州区,464084.83
201908021905,852,遵义,播州区,480161.20
201908022050,852,遵义,播州区,588705.20
201908022140,852,遵义,播州区,617674.06
201908030840,852,遵义,播州区,320322.18
201908031335,852,遵义,播州区,438888.45
201908031720,852,遵义,播州区,450207.15
201908032330,852,遵义,播州区,450180.37
201908041305,852,遵义,播州区,482797.10
201908041320,852,遵义,播州区,485417.95
201908041430,852,遵义,播州区,484427.94
201908041825,852,遵义,播州区,472436.22
201908042210,852,遵义,播州区,606470.36
201908042340,852,遵义,播州区,402023.96
201908042345,852,遵义,播州区,395708.48
201908050915,852,遵义,播州区,349687.53
201908051450,852,遵义,播州区,444967.27
201908051455,852,遵义,播州区,444350.38
201908051550,852,遵义,播州区,443113.98
201908051625,852,遵义,播州区,449686.94
201908051915,852,遵义,播州区,461111.68
201908052015,852,遵义,播州区,526194.94
201908052145,852,遵义,播州区,616484.60
201908052220,852,遵义,播州区,575408.12
201908060810,852,遵义,播州区,278654.92
201908060945,852,遵义,播州区,358913.17
201908061150,852,遵义,播州区,442399.08
201908061420,852,遵义,播州区,428949.64
201908061615,852,遵义,播州区,425100.72
201908061850,852,遵义,播州区,417364.86
201908062050,852,遵义,播州区,551549.47
201908062345,852,遵义,播州区,399031.78
201908070830,852,遵义,播州区,310078.54
201908071100,852,遵义,播州区,418609.17
201908071505,852,遵义,播州区,444163.74
201908071645,852,遵义,播州区,435493.18
201908072130,852,遵义,播州区,608184.29
201908081430,852,遵义,播州区,442684.38
201908081725,852,遵义,播州区,420084.49
201908081755,852,遵义,播州区,396160.60
201908081800,852,遵义,播州区,410137.29
201908081815,852,遵义,播州区,399454.40
201908082040,852,遵义,播州区,538040.01
201908090820,852,遵义,播州区,294492.57
201908091340,852,遵义,播州区,479191.31
201910270800,852,遵义,播州区,263852.95
201910270805,852,遵义,播州区,280255.54
201910270810,852,遵义,播州区,279513.79
201910270815,852,遵义,播州区,285777.13
201910270820,852,遵义,播州区,289362.93
201910270825,852,遵义,播州区,302226.04
201910270830,852,遵义,播州区,309187.34
201910270835,852,遵义,播州区,312733.89
201910270840,852,遵义,播州区,319511.76
201910270845,852,遵义,播州区,317560.95
201910270850,852,遵义,播州区,333128.40
201910270855,852,遵义,播州区,346864.52
