日期,编码,地区,业务类型,流量
201907221830,852,遵义,新蒲区,48106.60
201907221845,852,遵义,新蒲区,48958.55
201907231015,852,遵义,新蒲区,42759.76
201907231240,852,遵义,新蒲区,58892.43
201907231515,852,遵义,新蒲区,52800.93
201907231850,852,遵义,新蒲区,54932.94
201907232150,852,遵义,新蒲区,65931.74
201907241850,852,遵义,新蒲区,58552.82
201907250820,852,遵义,新蒲区,42733.14
201907251000,852,遵义,新蒲区,52210.75
201907251115,852,遵义,新蒲区,54740.38
201907251505,852,遵义,新蒲区,50340.04
201907251555,852,遵义,新蒲区,55527.08
201907252035,852,遵义,新蒲区,62347.23
201907252155,852,遵义,新蒲区,73315.31
201907261605,852,遵义,新蒲区,220254.14
201907261615,852,遵义,新蒲区,219528.98
201907261755,852,遵义,新蒲区,207572.41
201907271105,852,遵义,新蒲区,218945.84
201907271305,852,遵义,新蒲区,239602.17
201907271315,852,遵义,新蒲区,228881.45
201907272000,852,遵义,新蒲区,241156.22
201907272055,852,遵义,新蒲区,274792.68
201907272255,852,遵义,新蒲区,270374.06
201907280950,852,遵义,新蒲区,184413.78
201907281810,852,遵义,新蒲区,204431.06
201907281935,852,遵义,新蒲区,206249.65
201907282000,852,遵义,新蒲区,215870.35
201907282005,852,遵义,新蒲区,213775.93
201907282015,852,遵义,新蒲区,223198.01
201907282025,852,遵义,新蒲区,227558.50
201907282040,852,遵义,新蒲区,242315.45
201907282110,852,遵义,新蒲区,257206.65
201907282305,852,遵义,新蒲区,234228.04
201907291255,852,遵义,新蒲区,243248.07
201907291530,852,遵义,新蒲区,176504.45
201907291540,852,遵义,新蒲区,173768.64
201907291630,852,遵义,新蒲区,180249.49
201907291710,852,遵义,新蒲区,180484.00
201907291815,852,遵义,新蒲区,178336.81
201907292000,852,遵义,新蒲区,218676.76
201907292115,852,遵义,新蒲区,258799.30
201907300910,852,遵义,新蒲区,160311.70
201907301150,852,遵义,新蒲区,210521.25
201907301640,852,遵义,新蒲区,197308.20
201907301725,852,遵义,新蒲区,176490.27
201907302000,852,遵义,新蒲区,250917.13
201907302320,852,遵义,新蒲区,175433.23
201907310920,852,遵义,新蒲区,164059.30
201907311225,852,遵义,新蒲区,240118.61
201907311315,852,遵义,新蒲区,212835.16
201907311600,852,遵义,新蒲区,192590.86
201907312110,852,遵义,新蒲区,246680.26
201908011030,852,遵义,新蒲区,208929.06
201908011245,852,遵义,新蒲区,261550.21
201908011805,852,遵义,新蒲区,221154.45
201908011825,852,遵义,新蒲区,216520.16
201908011940,852,遵义,新蒲区,226032.73
201908012015,852,遵义,新蒲区,257360.27
201908012150,852,遵义,新蒲区,301832.11
201908012205,852,遵义,新蒲区,307630.53
201908012300,852,遵义,新蒲区,270211.50
201908021100,852,遵义,新蒲区,214290.28
201908021115,852,遵义,新蒲区,212314.88
201908021140,852,遵义,新蒲区,211613.22
201908021225,852,遵义,新蒲区,251318.53
201908021230,852,遵义,新蒲区,256641.03
201908021330,852,遵义,新蒲区,225415.61
201908021610,852,遵义,新蒲区,227338.46
201908021740,852,遵义,新蒲区,225814.03
201908021900,852,遵义,新蒲区,238248.35
201908021905,852,遵义,新蒲区,237416.41
201908022050,852,遵义,新蒲区,292301.03
201908022140,852,遵义,新蒲区,306657.06
201908030840,852,遵义,新蒲区,157941.49
201908031335,852,遵义,新蒲区,217709.13
201908031720,852,遵义,新蒲区,218491.82
201908032330,852,遵义,新蒲区,215981.34
201908041305,852,遵义,新蒲区,244350.09
201908041320,852,遵义,新蒲区,237424.78
201908041430,852,遵义,新蒲区,246381.09
201908041825,852,遵义,新蒲区,238184.25
