w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912161535:1816.6015625, 201912161540:1819.9291687011719, 201912161545:1823.2567901611328, 201912161550:1826.5843963623047, 201912161555:1829.9120178222656, 201912161600:1866.5694122314453, 201912161605:1869.8970184326172, 201912161610:1873.2246398925781, 201912161615:1876.55224609375, 201912161620:1879.879867553711, 201912161625:1883.2074737548828, 201912161630:1886.5350952148438, 
201912161540:1817.8215942382812, 201912161545:1822.9041748046875, 201912161550:1827.9867553710938, 201912161555:1833.0693359375, 201912161600:1849.5149230957031, 201912161605:1854.5975036621094, 201912161610:1859.6800842285156, 201912161615:1864.7626647949219, 201912161620:1869.8452453613281, 201912161625:1874.9278259277344, 201912161630:1880.0104064941406, 201912161635:1885.0929870605469, 
201912161540:1813.7848815917969, 201912161545:1817.37646484375, 201912161550:1820.9680786132812, 201912161555:1824.5596923828125, 201912161600:1857.4523315429688, 201912161605:1861.0439147949219, 201912161610:1864.6355285644531, 201912161615:1868.2271423339844, 201912161620:1871.8187255859375, 201912161625:1875.4103393554688, 201912161630:1879.0019226074219, 201912161635:1882.5935363769531, 
201912161540:1818.4923400878906, 201912161545:1821.6022644042969, 201912161550:1824.7121887207031, 201912161555:1827.8221130371094, 201912161600:1866.2633666992188, 201912161605:1869.373291015625, 201912161610:1872.4832153320312, 201912161615:1875.5931396484375, 201912161620:1878.7030639648438, 201912161625:1881.81298828125, 201912161630:1884.9229125976562, 201912161635:1888.0328369140625, 
201912161545:1817.6156616210938, 201912161550:1820.9438781738281, 201912161555:1824.2720947265625, 201912161600:1860.3614501953125, 201912161605:1863.6896667480469, 201912161610:1867.0178833007812, 201912161615:1870.3460998535156, 201912161620:1873.67431640625, 201912161625:1877.0025329589844, 201912161630:1880.3307495117188, 201912161635:1883.6589660644531, 201912161640:1886.9871826171875, 
201912161550:1830.5284729003906, 201912161555:1834.5467834472656, 201912161600:1863.37451171875, 201912161605:1867.3928527832031, 201912161610:1871.4111938476562, 201912161615:1875.4295043945312, 201912161620:1879.4478454589844, 201912161625:1883.4661560058594, 201912161630:1887.4844970703125, 201912161635:1891.5028076171875, 201912161640:1895.5211486816406, 201912161645:1899.5394897460938, 
201912161555:1818.1007690429688, 201912161600:1852.920181274414, 201912161605:1856.2917785644531, 201912161610:1859.6633758544922, 201912161615:1863.0349731445312, 201912161620:1866.4065704345703, 201912161625:1869.7781677246094, 201912161630:1873.1497650146484, 201912161635:1876.5213623046875, 201912161640:1879.8929595947266, 201912161645:1883.2645568847656, 201912161650:1886.6361541748047, 
201912161600:1863.5182800292969, 201912161605:1867.0314636230469, 201912161610:1870.5446472167969, 201912161615:1874.0578308105469, 201912161620:1877.5709838867188, 201912161625:1881.0841674804688, 201912161630:1884.5973510742188, 201912161635:1888.1105346679688, 201912161640:1891.6237182617188, 201912161645:1895.1369018554688, 201912161650:1898.6500854492188, 201912161655:1902.1632690429688, 
201912161605:1870.0196838378906, 201912161610:1874.063232421875, 201912161615:1878.1067810058594, 201912161620:1882.1502990722656, 201912161625:1886.19384765625, 201912161630:1890.2373962402344, 201912161635:1894.2809448242188, 201912161640:1898.324462890625, 201912161645:1902.3680114746094, 201912161650:1906.4115600585938, 201912161655:1910.455078125, 201912161700:1939.6247863769531, 
201912161610:1869.1356506347656, 201912161615:1872.9307556152344, 201912161620:1876.7258911132812, 201912161625:1880.5210266113281, 201912161630:1884.3161315917969, 201912161635:1888.1112670898438, 201912161640:1891.9064025878906, 201912161645:1895.7015075683594, 201912161650:1899.4966430664062, 201912161655:1903.2917785644531, 201912161700:1934.7039489746094, 201912161705:1938.4990844726562, 
201912161615:1867.8130798339844, 201912161620:1871.9898681640625, 201912161625:1876.1666870117188, 201912161630:1880.3434753417969, 201912161635:1884.5202941894531, 201912161640:1888.6970825195312, 201912161645:1892.8739013671875, 201912161650:1897.0506896972656, 201912161655:1901.2274780273438, 201912161700:1928.581787109375, 201912161705:1932.7586059570312, 201912161710:1936.9353942871094, 
201912161620:1868.450439453125, 201912161625:1872.3571166992188, 201912161630:1876.2637939453125, 201912161635:1880.1704711914062, 201912161640:1884.0771484375, 201912161645:1887.9838256835938, 201912161650:1891.8905029296875, 201912161655:1895.7971801757812, 201912161700:1925.5221252441406, 201912161705:1929.4288024902344, 201912161710:1933.3354797363281, 201912161715:1937.2421569824219, 
201912161625:1878.5254211425781, 201912161630:1882.9505920410156, 201912161635:1887.3757629394531, 201912161640:1891.8009033203125, 201912161645:1896.22607421875, 201912161650:1900.6512451171875, 201912161655:1905.076416015625, 201912161700:1929.8212585449219, 201912161705:1934.2464294433594, 201912161710:1938.6716003417969, 201912161715:1943.0967712402344, 201912161720:1947.5219116210938, 
201912161630:1874.0237426757812, 201912161635:1877.9057922363281, 201912161640:1881.7878112792969, 201912161645:1885.6698608398438, 201912161650:1889.5518798828125, 201912161655:1893.4339294433594, 201912161700:1923.1060485839844, 201912161705:1926.9880676269531, 201912161710:1930.8700866699219, 201912161715:1934.7521362304688, 201912161720:1938.6341552734375, 201912161725:1942.5162048339844, 
201912161635:1876.5990295410156, 201912161640:1880.5533142089844, 201912161645:1884.507568359375, 201912161650:1888.4618225097656, 201912161655:1892.4160766601562, 201912161700:1921.8656311035156, 201912161705:1925.8198852539062, 201912161710:1929.7741394042969, 201912161715:1933.7283935546875, 201912161720:1937.6826782226562, 201912161725:1941.6369323730469, 201912161730:1945.5911865234375, 
201912161640:1884.3430786132812, 201912161645:1888.0832214355469, 201912161650:1891.8233642578125, 201912161655:1895.5635070800781, 201912161700:1926.9767456054688, 201912161705:1930.7168884277344, 201912161710:1934.45703125, 201912161715:1938.1971740722656, 201912161720:1941.9373168945312, 201912161725:1945.6774597167969, 201912161730:1949.4176025390625, 201912161735:1953.1577453613281, 
201912161645:1891.3027038574219, 201912161650:1895.1277770996094, 201912161655:1898.9528198242188, 201912161700:1930.0106201171875, 201912161705:1933.8356628417969, 201912161710:1937.6607055664062, 201912161715:1941.4857788085938, 201912161720:1945.3108215332031, 201912161725:1949.1358642578125, 201912161730:1952.9609069824219, 201912161735:1956.7859802246094, 201912161740:1960.6110229492188, 
201912161650:1894.6719512939453, 201912161655:1897.5277557373047, 201912161700:1938.209945678711, 201912161705:1941.0657501220703, 201912161710:1943.9215545654297, 201912161715:1946.777359008789, 201912161720:1949.6331634521484, 201912161725:1952.4889678955078, 201912161730:1955.3447875976562, 201912161735:1958.2005920410156, 201912161740:1961.056396484375, 201912161745:1963.9122009277344, 
201912161655:1892.1909484863281, 201912161700:1920.2572021484375, 201912161705:1924.29736328125, 201912161710:1928.3375549316406, 201912161715:1932.3777160644531, 201912161720:1936.4178771972656, 201912161725:1940.4580383300781, 201912161730:1944.4981994628906, 201912161735:1948.5383605957031, 201912161740:1952.5785217285156, 201912161745:1956.6187133789062, 201912161750:1960.6588745117188, 
201912161700:1930.029067993164, 201912161705:1933.2292022705078, 201912161710:1936.4293518066406, 201912161715:1939.6294860839844, 201912161720:1942.8296356201172, 201912161725:1946.029769897461, 201912161730:1949.2299194335938, 201912161735:1952.4300537109375, 201912161740:1955.6302032470703, 201912161745:1958.830337524414, 201912161750:1962.0304870605469, 201912161755:1965.2306213378906, 
201912161705:1921.0770263671875, 201912161710:1924.6480712890625, 201912161715:1928.2191162109375, 201912161720:1931.7901611328125, 201912161725:1935.3612060546875, 201912161730:1938.9322509765625, 201912161735:1942.5032653808594, 201912161740:1946.0743103027344, 201912161745:1949.6453552246094, 201912161750:1953.2164001464844, 201912161755:1956.7874450683594, 201912161800:1989.9273681640625, 
201912161710:1932.4984436035156, 201912161715:1935.6498260498047, 201912161720:1938.8012237548828, 201912161725:1941.952621459961, 201912161730:1945.10400390625, 201912161735:1948.2554016113281, 201912161740:1951.4067993164062, 201912161745:1954.5581817626953, 201912161750:1957.7095794677734, 201912161755:1960.8609619140625, 201912161800:1998.9431610107422, 201912161805:2002.0945587158203, 
201912161715:1932.8143310546875, 201912161720:1937.7112426757812, 201912161725:1942.608154296875, 201912161730:1947.5050659179688, 201912161735:1952.4019470214844, 201912161740:1957.2988586425781, 201912161745:1962.1957702636719, 201912161750:1967.0926818847656, 201912161755:1971.9895935058594, 201912161800:1991.2386474609375, 201912161805:1996.1355590820312, 201912161810:2001.032470703125, 
201912161720:1934.2870788574219, 201912161725:1938.4101257324219, 201912161730:1942.5331420898438, 201912161735:1946.6561584472656, 201912161740:1950.7791748046875, 201912161745:1954.9022216796875, 201912161750:1959.0252380371094, 201912161755:1963.1482543945312, 201912161800:1990.7782592773438, 201912161805:1994.9013061523438, 201912161810:1999.0243225097656, 201912161815:2003.1473388671875, 
201912161725:1941.6242065429688, 201912161730:1946.1692810058594, 201912161735:1950.7143249511719, 201912161740:1955.2593994140625, 201912161745:1959.8044738769531, 201912161750:1964.3495483398438, 201912161755:1968.8946228027344, 201912161800:1991.653564453125, 201912161805:1996.1986389160156, 201912161810:2000.7437133789062, 201912161815:2005.2887878417969, 201912161820:2009.8338317871094, 
201912161730:1949.4083251953125, 201912161735:1953.5527954101562, 201912161740:1957.697265625, 201912161745:1961.8417358398438, 201912161750:1965.9862060546875, 201912161755:1970.1306762695312, 201912161800:1996.9271850585938, 201912161805:2001.0716552734375, 201912161810:2005.2161254882812, 201912161815:2009.360595703125, 201912161820:2013.5050659179688, 201912161825:2017.6495361328125, 
201912161735:1942.4696960449219, 201912161740:1946.6614379882812, 201912161745:1950.8531799316406, 201912161750:1955.044921875, 201912161755:1959.2366943359375, 201912161800:1985.1869201660156, 201912161805:1989.3786926269531, 201912161810:1993.5704345703125, 201912161815:1997.7621765136719, 201912161820:2001.9539184570312, 201912161825:2006.1456909179688, 201912161830:2010.3374328613281, 
201912161740:1959.6799621582031, 201912161745:1964.1389465332031, 201912161750:1968.5979309082031, 201912161755:1973.056884765625, 201912161800:1995.3772583007812, 201912161805:1999.8362121582031, 201912161810:2004.2951965332031, 201912161815:2008.7541809082031, 201912161820:2013.213134765625, 201912161825:2017.672119140625, 201912161830:2022.131103515625, 201912161835:2026.5900573730469, 
201912161745:1960.7422485351562, 201912161750:1965.3481140136719, 201912161755:1969.9539489746094, 201912161800:1991.6884765625, 201912161805:1996.2943115234375, 201912161810:2000.900146484375, 201912161815:2005.5060119628906, 201912161820:2010.1118469238281, 201912161825:2014.7176818847656, 201912161830:2019.3235168457031, 201912161835:2023.9293518066406, 201912161840:2028.5351867675781, 
201912161750:1954.8631896972656, 201912161755:1959.341796875, 201912161800:1982.4549560546875, 201912161805:1986.9335632324219, 201912161810:1991.4121704101562, 201912161815:1995.8907775878906, 201912161820:2000.369384765625, 201912161825:2004.8479919433594, 201912161830:2009.3265991210938, 201912161835:2013.8052062988281, 201912161840:2018.2838134765625, 201912161845:2022.7624206542969, 
201912161755:1960.3421630859375, 201912161800:1987.2721557617188, 201912161805:1991.3968811035156, 201912161810:1995.5215759277344, 201912161815:1999.6463012695312, 201912161820:2003.77099609375, 201912161825:2007.8957214355469, 201912161830:2012.0204162597656, 201912161835:2016.1451416015625, 201912161840:2020.2698669433594, 201912161845:2024.3945617675781, 201912161850:2028.519287109375, 
201912161800:1989.2924499511719, 201912161805:1993.5595092773438, 201912161810:1997.8265686035156, 201912161815:2002.0936279296875, 201912161820:2006.3606872558594, 201912161825:2010.6277465820312, 201912161830:2014.8948364257812, 201912161835:2019.1618957519531, 201912161840:2023.428955078125, 201912161845:2027.6960144042969, 201912161850:2031.9630737304688, 201912161855:2036.2301330566406, 
201912161805:1998.8595123291016, 201912161810:2002.1332702636719, 201912161815:2005.4070281982422, 201912161820:2008.6807861328125, 201912161825:2011.9545440673828, 201912161830:2015.2283172607422, 201912161835:2018.5020751953125, 201912161840:2021.7758331298828, 201912161845:2025.0495910644531, 201912161850:2028.3233489990234, 201912161855:2031.5971221923828, 201912161900:2067.980987548828, 
201912161810:1994.7377014160156, 201912161815:1998.6703186035156, 201912161820:2002.6029663085938, 201912161825:2006.5356140136719, 201912161830:2010.46826171875, 201912161835:2014.4009094238281, 201912161840:2018.3335571289062, 201912161845:2022.2662048339844, 201912161850:2026.1988525390625, 201912161855:2030.1315002441406, 201912161900:2059.1976623535156, 201912161905:2063.1303100585938, 
201912161815:2005.6275329589844, 201912161820:2009.2652587890625, 201912161825:2012.9029846191406, 201912161830:2016.5407104492188, 201912161835:2020.1784362792969, 201912161840:2023.816162109375, 201912161845:2027.4538879394531, 201912161850:2031.0916137695312, 201912161855:2034.7293395996094, 201912161900:2066.8292846679688, 201912161905:2070.467010498047, 201912161910:2074.104736328125, 
201912161820:2000.0340270996094, 201912161825:2004.5992431640625, 201912161830:2009.1644592285156, 201912161835:2013.7296752929688, 201912161840:2018.2948913574219, 201912161845:2022.860107421875, 201912161850:2027.4253540039062, 201912161855:2031.9905700683594, 201912161900:2053.346710205078, 201912161905:2057.9119262695312, 201912161910:2062.4771728515625, 201912161915:2067.0423889160156, 
201912161825:2011.9047546386719, 201912161830:2015.9660034179688, 201912161835:2020.0272216796875, 201912161840:2024.0884399414062, 201912161845:2028.149658203125, 201912161850:2032.2108764648438, 201912161855:2036.2720947265625, 201912161900:2064.307159423828, 201912161905:2068.368408203125, 201912161910:2072.4296264648438, 201912161915:2076.4908447265625, 201912161920:2080.5520629882812, 
201912161830:2015.5481872558594, 201912161835:2019.2654418945312, 201912161840:2022.9826965332031, 201912161845:2026.6999206542969, 201912161850:2030.4171752929688, 201912161855:2034.1344299316406, 201912161900:2066.1114501953125, 201912161905:2069.8287048339844, 201912161910:2073.5459594726562, 201912161915:2077.26318359375, 201912161920:2080.980438232422, 201912161925:2084.6976928710938, 
201912161835:2014.248062133789, 201912161840:2017.3903503417969, 201912161845:2020.5326232910156, 201912161850:2023.6748962402344, 201912161855:2026.8171691894531, 201912161900:2064.271270751953, 201912161905:2067.413543701172, 201912161910:2070.5558166503906, 201912161915:2073.6980895996094, 201912161920:2076.840377807617, 201912161925:2079.982650756836, 201912161930:2083.1249237060547, 
201912161840:2013.6460266113281, 201912161845:2016.6533813476562, 201912161850:2019.6607360839844, 201912161855:2022.6680908203125, 201912161900:2060.797882080078, 201912161905:2063.8052368164062, 201912161910:2066.8125915527344, 201912161915:2069.8199462890625, 201912161920:2072.8273010253906, 201912161925:2075.8346557617188, 201912161930:2078.842010498047, 201912161935:2081.849365234375, 
201912161845:2010.0247192382812, 201912161850:2013.4520874023438, 201912161855:2016.8794555664062, 201912161900:2051.635223388672, 201912161905:2055.0625915527344, 201912161910:2058.489959716797, 201912161915:2061.9172973632812, 201912161920:2065.3446655273438, 201912161925:2068.7720336914062, 201912161930:2072.1994018554688, 201912161935:2075.6267700195312, 201912161940:2079.0541381835938, 
201912161850:2017.50927734375, 201912161855:2021.2730407714844, 201912161900:2051.8775939941406, 201912161905:2055.641326904297, 201912161910:2059.405059814453, 201912161915:2063.1688232421875, 201912161920:2066.9325561523438, 201912161925:2070.6962890625, 201912161930:2074.4600524902344, 201912161935:2078.2237854003906, 201912161940:2081.987518310547, 201912161945:2085.7512817382812, 
201912161855:2034.4861755371094, 201912161900:2058.8800659179688, 201912161905:2063.2696533203125, 201912161910:2067.6592712402344, 201912161915:2072.048858642578, 201912161920:2076.438446044922, 201912161925:2080.8280334472656, 201912161930:2085.2176208496094, 201912161935:2089.607208251953, 201912161940:2093.996795654297, 201912161945:2098.3863830566406, 201912161950:2102.7759704589844, 
201912161900:2061.9837951660156, 201912161905:2065.1687927246094, 201912161910:2068.353790283203, 201912161915:2071.538803100586, 201912161920:2074.7238006591797, 201912161925:2077.9088134765625, 201912161930:2081.0938110351562, 201912161935:2084.27880859375, 201912161940:2087.463821411133, 201912161945:2090.6488189697266, 201912161950:2093.8338317871094, 201912161955:2097.018829345703, 
201912161905:2052.3309631347656, 201912161910:2056.232666015625, 201912161915:2060.1343688964844, 201912161920:2064.0360717773438, 201912161925:2067.937774658203, 201912161930:2071.8395080566406, 201912161935:2075.7412109375, 201912161940:2079.6429138183594, 201912161945:2083.5446166992188, 201912161950:2087.446319580078, 201912161955:2091.3480224609375, 201912162000:2120.2980041503906, 
201912161910:2061.8016357421875, 201912161915:2065.6973266601562, 201912161920:2069.593048095703, 201912161925:2073.488739013672, 201912161930:2077.3844604492188, 201912161935:2081.2801513671875, 201912161940:2085.1758728027344, 201912161945:2089.071563720703, 201912161950:2092.967254638672, 201912161955:2096.8629760742188, 201912162000:2125.953155517578, 201912162005:2129.848846435547, 
201912161915:2068.708526611328, 201912161920:2072.726806640625, 201912161925:2076.7450561523438, 201912161930:2080.7633056640625, 201912161935:2084.7815856933594, 201912161940:2088.799835205078, 201912161945:2092.818115234375, 201912161950:2096.8363647460938, 201912161955:2100.8546142578125, 201912162000:2128.2601013183594, 201912162005:2132.2783813476562, 201912162010:2136.296630859375, 
201912161920:2068.2500610351562, 201912161925:2071.930633544922, 201912161930:2075.6112365722656, 201912161935:2079.2918395996094, 201912161940:2082.972412109375, 201912161945:2086.6530151367188, 201912161950:2090.3336181640625, 201912161955:2094.014190673828, 201912162000:2124.9385986328125, 201912162005:2128.6192016601562, 201912162010:2132.299774169922, 201912162015:2135.9803771972656, 
