日期,编码,地区,流量,月份,天,小时
201910010850,853,安顺,1671.43,10,01,08
201910010855,853,安顺,1704.62,10,01,08
201910010900,853,安顺,1771.64,10,01,09
201910010905,853,安顺,1803.19,10,01,09
201910010910,853,安顺,1856.88,10,01,09
201910010915,853,安顺,1822.57,10,01,09
201910010920,853,安顺,1838.44,10,01,09
201910010925,853,安顺,1883.28,10,01,09
201910010930,853,安顺,1898.68,10,01,09
201910010935,853,安顺,1961.70,10,01,09
201910010940,853,安顺,1908.31,10,01,09
201910010945,853,安顺,1988.39,10,01,09
201910010950,853,安顺,1976.96,10,01,09
201910010955,853,安顺,2054.94,10,01,09
201910011000,853,安顺,2048.33,10,01,10
201910011005,853,安顺,2057.06,10,01,10
201910011010,853,安顺,2105.33,10,01,10
201910011015,853,安顺,2101.29,10,01,10
201910011020,853,安顺,2173.19,10,01,10
201910011025,853,安顺,2163.35,10,01,10
201910011030,853,安顺,2323.27,10,01,10
201910011035,853,安顺,2307.92,10,01,10
201910011040,853,安顺,2281.55,10,01,10
201910011045,853,安顺,2334.07,10,01,10
201910011050,853,安顺,2315.60,10,01,10
201910011055,853,安顺,2250.53,10,01,10
201910011100,853,安顺,2373.57,10,01,11
201910011105,853,安顺,2240.74,10,01,11
201910011110,853,安顺,2267.63,10,01,11
201910011115,853,安顺,2227.64,10,01,11
201910011120,853,安顺,2292.39,10,01,11
201910011125,853,安顺,2172.70,10,01,11
201910011130,853,安顺,2283.63,10,01,11
201910011135,853,安顺,2234.75,10,01,11
201910011140,853,安顺,2302.61,10,01,11
201910011145,853,安顺,2296.85,10,01,11
201910011150,853,安顺,2263.08,10,01,11
201910011155,853,安顺,2252.06,10,01,11
201910011200,853,安顺,2355.07,10,01,12
201910011205,853,安顺,2299.95,10,01,12
201910011210,853,安顺,2232.64,10,01,12
201910011215,853,安顺,2218.35,10,01,12
201910011220,853,安顺,2171.09,10,01,12
201910011225,853,安顺,2158.76,10,01,12
201910011230,853,安顺,2375.98,10,01,12
201910011235,853,安顺,2249.33,10,01,12
201910011240,853,安顺,2499.57,10,01,12
201910011245,853,安顺,2361.41,10,01,12
201910011250,853,安顺,2287.26,10,01,12
201910011255,853,安顺,2167.88,10,01,12
201910011300,853,安顺,2196.73,10,01,13
201910011305,853,安顺,2133.09,10,01,13
201910011310,853,安顺,2134.38,10,01,13
201910011315,853,安顺,2093.33,10,01,13
201910011320,853,安顺,2085.59,10,01,13
201910011325,853,安顺,2056.56,10,01,13
201910011330,853,安顺,2092.78,10,01,13
201910011335,853,安顺,2040.82,10,01,13
201910011340,853,安顺,2073.69,10,01,13
201910011345,853,安顺,2043.95,10,01,13
