日期,编码,地区,流量,月份,天,小时
201910010850,857,毕节,3373.73,10,01,08
201910010855,857,毕节,3486.68,10,01,08
201910010900,857,毕节,3577.41,10,01,09
201910010905,857,毕节,3572.78,10,01,09
201910010910,857,毕节,3698.86,10,01,09
201910010915,857,毕节,3556.67,10,01,09
201910010920,857,毕节,3682.16,10,01,09
201910010925,857,毕节,3742.58,10,01,09
201910010930,857,毕节,3771.04,10,01,09
201910010935,857,毕节,3832.04,10,01,09
201910010940,857,毕节,3780.19,10,01,09
201910010945,857,毕节,3920.74,10,01,09
201910010950,857,毕节,3866.75,10,01,09
201910010955,857,毕节,3882.94,10,01,09
201910011000,857,毕节,3997.55,10,01,10
201910011005,857,毕节,4039.61,10,01,10
201910011010,857,毕节,4129.56,10,01,10
201910011015,857,毕节,4115.69,10,01,10
201910011020,857,毕节,4088.68,10,01,10
201910011025,857,毕节,4184.94,10,01,10
201910011030,857,毕节,4330.58,10,01,10
201910011035,857,毕节,4437.50,10,01,10
201910011040,857,毕节,4417.44,10,01,10
201910011045,857,毕节,4510.64,10,01,10
201910011050,857,毕节,4419.83,10,01,10
201910011055,857,毕节,4384.60,10,01,10
201910011100,857,毕节,4502.98,10,01,11
201910011105,857,毕节,4364.44,10,01,11
201910011110,857,毕节,4510.91,10,01,11
201910011115,857,毕节,4356.80,10,01,11
201910011120,857,毕节,4268.50,10,01,11
201910011125,857,毕节,4390.38,10,01,11
201910011130,857,毕节,4440.38,10,01,11
201910011135,857,毕节,4372.01,10,01,11
201910011140,857,毕节,4315.63,10,01,11
201910011145,857,毕节,4393.64,10,01,11
201910011150,857,毕节,4353.94,10,01,11
201910011155,857,毕节,4419.62,10,01,11
201910011200,857,毕节,4442.65,10,01,12
201910011205,857,毕节,4383.51,10,01,12
201910011210,857,毕节,4303.39,10,01,12
201910011215,857,毕节,4263.88,10,01,12
201910011220,857,毕节,4194.26,10,01,12
201910011225,857,毕节,4135.51,10,01,12
201910011230,857,毕节,4500.79,10,01,12
201910011235,857,毕节,4250.05,10,01,12
201910011240,857,毕节,4594.01,10,01,12
201910011245,857,毕节,4499.69,10,01,12
201910011250,857,毕节,4413.95,10,01,12
201910011255,857,毕节,4230.08,10,01,12
201910011300,857,毕节,4084.22,10,01,13
201910011305,857,毕节,4062.67,10,01,13
201910011310,857,毕节,4024.90,10,01,13
201910011315,857,毕节,4017.35,10,01,13
201910011320,857,毕节,4086.49,10,01,13
201910011325,857,毕节,3913.76,10,01,13
201910011330,857,毕节,4085.18,10,01,13
201910011335,857,毕节,3982.78,10,01,13
201910011340,857,毕节,3985.34,10,01,13
201910011345,857,毕节,3980.65,10,01,13
201910011350,857,毕节,3928.39,10,01,13
201910011355,857,毕节,4055.00,10,01,13
201910011400,857,毕节,3975.87,10,01,14
201910011405,857,毕节,3984.98,10,01,14
201910011410,857,毕节,3961.79,10,01,14
201910011415,857,毕节,3990.99,10,01,14
201910011420,857,毕节,4073.73,10,01,14
201910011425,857,毕节,3972.95,10,01,14
201910011430,857,毕节,4034.10,10,01,14
201910011435,857,毕节,3946.31,10,01,14
201910011440,857,毕节,3915.24,10,01,14
201910011445,857,毕节,3880.37,10,01,14
201910011450,857,毕节,3966.31,10,01,14
201910011455,857,毕节,3987.77,10,01,14
201910011500,857,毕节,3881.55,10,01,15
201910011505,857,毕节,3988.01,10,01,15
201910011510,857,毕节,3867.26,10,01,15
201910011515,857,毕节,3907.20,10,01,15
201910011520,857,毕节,3859.30,10,01,15
201910011525,857,毕节,3858.90,10,01,15
201910011530,857,毕节,3927.85,10,01,15
201910011535,857,毕节,3887.25,10,01,15
201910011540,857,毕节,3978.48,10,01,15
201910011545,857,毕节,3866.99,10,01,15
201910011550,857,毕节,3898.98,10,01,15
201910011555,857,毕节,3870.39,10,01,15
201910011600,857,毕节,3977.56,10,01,16
201910011605,857,毕节,3907.03,10,01,16
201910011610,857,毕节,3900.37,10,01,16
201910011615,857,毕节,3956.07,10,01,16
201910011620,857,毕节,3875.18,10,01,16
201910011625,857,毕节,3950.00,10,01,16
201910011630,857,毕节,3903.24,10,01,16
201910011635,857,毕节,3876.93,10,01,16
201910011640,857,毕节,3854.63,10,01,16
201910011645,857,毕节,3869.55,10,01,16
201910011650,857,毕节,3894.09,10,01,16
201910011655,857,毕节,3873.63,10,01,16
201910011700,857,毕节,3891.58,10,01,17
201910011705,857,毕节,4001.22,10,01,17
201910011710,857,毕节,3847.60,10,01,17
201910011715,857,毕节,3970.28,10,01,17
201910011720,857,毕节,3824.76,10,01,17
201910011725,857,毕节,3990.82,10,01,17
201910011730,857,毕节,3874.34,10,01,17
201910011735,857,毕节,3973.94,10,01,17
201910011740,857,毕节,3904.54,10,01,17
201910011745,857,毕节,3868.16,10,01,17
201910011750,857,毕节,4037.32,10,01,17
201910011755,857,毕节,4047.16,10,01,17
201910011800,857,毕节,3936.83,10,01,18
201910011805,857,毕节,4036.34,10,01,18
201910011810,857,毕节,4028.68,10,01,18
201910011815,857,毕节,4017.85,10,01,18
201910011820,857,毕节,4038.30,10,01,18
201910011825,857,毕节,4154.60,10,01,18
201910011830,857,毕节,4073.73,10,01,18
