日期,编码,地区,流量,月份,天,小时
201910010850,85,贵州,25889.79,10,01,08
201910010855,85,贵州,26483.13,10,01,08
201910010900,85,贵州,27662.10,10,01,09
201910010905,85,贵州,27975.26,10,01,09
201910010910,85,贵州,28261.10,10,01,09
201910010915,85,贵州,28204.63,10,01,09
201910010920,85,贵州,28485.96,10,01,09
201910010925,85,贵州,29631.49,10,01,09
201910010930,85,贵州,29737.03,10,01,09
201910010935,85,贵州,29790.71,10,01,09
201910010940,85,贵州,30038.15,10,01,09
201910010945,85,贵州,30653.45,10,01,09
201910010950,85,贵州,30998.35,10,01,09
201910010955,85,贵州,31199.06,10,01,09
201910011000,85,贵州,32142.16,10,01,10
201910011005,85,贵州,32397.55,10,01,10
201910011010,85,贵州,33093.29,10,01,10
201910011015,85,贵州,32867.42,10,01,10
201910011020,85,贵州,33811.29,10,01,10
201910011025,85,贵州,33358.20,10,01,10
201910011030,85,贵州,34647.47,10,01,10
201910011035,85,贵州,35574.77,10,01,10
201910011040,85,贵州,34152.58,10,01,10
201910011045,85,贵州,35626.09,10,01,10
201910011050,85,贵州,35581.70,10,01,10
201910011055,85,贵州,34846.92,10,01,10
201910011100,85,贵州,36228.56,10,01,11
201910011105,85,贵州,34419.66,10,01,11
201910011110,85,贵州,34966.67,10,01,11
201910011115,85,贵州,34246.94,10,01,11
201910011120,85,贵州,33985.30,10,01,11
201910011125,85,贵州,33419.07,10,01,11
201910011130,85,贵州,34617.60,10,01,11
201910011135,85,贵州,34015.80,10,01,11
201910011140,85,贵州,34311.53,10,01,11
201910011145,85,贵州,34682.77,10,01,11
201910011150,85,贵州,34446.78,10,01,11
201910011155,85,贵州,33855.55,10,01,11
201910011200,85,贵州,34483.05,10,01,12
201910011205,85,贵州,34737.49,10,01,12
201910011210,85,贵州,33965.94,10,01,12
201910011215,85,贵州,33455.17,10,01,12
201910011220,85,贵州,32658.47,10,01,12
201910011225,85,贵州,32142.79,10,01,12
201910011230,85,贵州,34444.70,10,01,12
201910011235,85,贵州,33317.59,10,01,12
201910011240,85,贵州,36103.33,10,01,12
201910011245,85,贵州,34893.00,10,01,12
201910011250,85,贵州,34263.46,10,01,12
201910011255,85,贵州,31862.32,10,01,12
201910011300,85,贵州,32105.61,10,01,13
201910011305,85,贵州,31162.45,10,01,13
201910011310,85,贵州,30848.67,10,01,13
201910011315,85,贵州,30861.15,10,01,13
201910011320,85,贵州,30563.64,10,01,13
201910011325,85,贵州,29620.62,10,01,13
201910011330,85,贵州,30936.89,10,01,13
201910011335,85,贵州,30085.71,10,01,13
201910011340,85,贵州,30671.95,10,01,13
201910011345,85,贵州,30150.95,10,01,13
201910011350,85,贵州,29931.21,10,01,13
201910011355,85,贵州,29867.89,10,01,13
201910011400,85,贵州,29770.66,10,01,14
201910011405,85,贵州,29958.43,10,01,14
201910011410,85,贵州,29797.38,10,01,14
201910011415,85,贵州,30005.80,10,01,14
201910011420,85,贵州,29751.33,10,01,14
201910011425,85,贵州,29903.51,10,01,14
201910011430,85,贵州,30423.45,10,01,14
201910011435,85,贵州,29668.41,10,01,14
201910011440,85,贵州,30289.76,10,01,14
201910011445,85,贵州,29426.62,10,01,14
201910011450,85,贵州,29972.48,10,01,14
201910011455,85,贵州,29512.21,10,01,14
201910011500,85,贵州,29304.68,10,01,15
201910011505,85,贵州,29372.33,10,01,15
201910011510,85,贵州,29351.62,10,01,15
201910011515,85,贵州,29356.38,10,01,15
201910011520,85,贵州,29161.52,10,01,15
201910011525,85,贵州,29112.59,10,01,15
201910011530,85,贵州,28953.07,10,01,15
201910011535,85,贵州,29162.40,10,01,15
201910011540,85,贵州,29205.51,10,01,15
201910011545,85,贵州,29214.11,10,01,15
201910011550,85,贵州,29830.68,10,01,15
