日期,编码,地区,流量,月份,天,小时
201910010850,856,铜仁,2390.11,10,01,08
201910010855,856,铜仁,2410.01,10,01,08
201910010900,856,铜仁,2453.13,10,01,09
201910010905,856,铜仁,2549.08,10,01,09
201910010910,856,铜仁,2650.23,10,01,09
201910010915,856,铜仁,2574.73,10,01,09
201910010920,856,铜仁,2625.40,10,01,09
201910010925,856,铜仁,2728.12,10,01,09
201910010930,856,铜仁,2697.09,10,01,09
201910010935,856,铜仁,2785.99,10,01,09
201910010940,856,铜仁,2736.12,10,01,09
201910010945,856,铜仁,2873.62,10,01,09
201910010950,856,铜仁,2800.36,10,01,09
201910010955,856,铜仁,2880.87,10,01,09
201910011000,856,铜仁,2859.78,10,01,10
201910011005,856,铜仁,2971.58,10,01,10
201910011010,856,铜仁,3030.32,10,01,10
201910011015,856,铜仁,2938.04,10,01,10
201910011020,856,铜仁,3022.82,10,01,10
201910011025,856,铜仁,2950.36,10,01,10
201910011030,856,铜仁,3151.15,10,01,10
201910011035,856,铜仁,3200.19,10,01,10
201910011040,856,铜仁,3030.05,10,01,10
201910011045,856,铜仁,3164.74,10,01,10
201910011050,856,铜仁,3233.28,10,01,10
201910011055,856,铜仁,3157.17,10,01,10
201910011100,856,铜仁,3281.86,10,01,11
201910011105,856,铜仁,3113.44,10,01,11
201910011110,856,铜仁,3144.77,10,01,11
201910011115,856,铜仁,3060.05,10,01,11
201910011120,856,铜仁,3103.23,10,01,11
201910011125,856,铜仁,3033.82,10,01,11
201910011130,856,铜仁,3017.70,10,01,11
201910011135,856,铜仁,3064.47,10,01,11
201910011140,856,铜仁,3185.37,10,01,11
201910011145,856,铜仁,3143.23,10,01,11
201910011150,856,铜仁,3193.38,10,01,11
201910011155,856,铜仁,3128.71,10,01,11
201910011200,856,铜仁,3209.52,10,01,12
201910011205,856,铜仁,3178.51,10,01,12
201910011210,856,铜仁,3118.83,10,01,12
201910011215,856,铜仁,3056.65,10,01,12
201910011220,856,铜仁,2921.20,10,01,12
201910011225,856,铜仁,2916.38,10,01,12
201910011230,856,铜仁,3144.74,10,01,12
201910011235,856,铜仁,3107.75,10,01,12
201910011240,856,铜仁,3204.30,10,01,12
201910011245,856,铜仁,3174.66,10,01,12
201910011250,856,铜仁,3053.63,10,01,12
201910011255,856,铜仁,2880.93,10,01,12
201910011300,856,铜仁,2812.24,10,01,13
201910011305,856,铜仁,2816.33,10,01,13
201910011310,856,铜仁,2877.26,10,01,13
201910011315,856,铜仁,2787.54,10,01,13
201910011320,856,铜仁,2841.71,10,01,13
201910011325,856,铜仁,2667.52,10,01,13
201910011330,856,铜仁,2782.47,10,01,13
201910011335,856,铜仁,2718.71,10,01,13
201910011340,856,铜仁,2670.45,10,01,13
201910011345,856,铜仁,2692.52,10,01,13
201910011350,856,铜仁,2757.03,10,01,13
201910011355,856,铜仁,2670.42,10,01,13
201910011400,856,铜仁,2648.22,10,01,14
201910011405,856,铜仁,2673.34,10,01,14
201910011410,856,铜仁,2657.26,10,01,14
201910011415,856,铜仁,2658.39,10,01,14
201910011420,856,铜仁,2697.76,10,01,14
201910011425,856,铜仁,2658.17,10,01,14
201910011430,856,铜仁,2711.19,10,01,14
201910011435,856,铜仁,2654.86,10,01,14
201910011440,856,铜仁,2733.43,10,01,14
201910011445,856,铜仁,2665.98,10,01,14
201910011450,856,铜仁,2650.91,10,01,14
201910011455,856,铜仁,2664.38,10,01,14
201910011500,856,铜仁,2624.99,10,01,15
201910011505,856,铜仁,2720.85,10,01,15
201910011510,856,铜仁,2655.57,10,01,15
201910011515,856,铜仁,2734.09,10,01,15
201910011520,856,铜仁,2648.62,10,01,15
201910011525,856,铜仁,2628.47,10,01,15
201910011530,856,铜仁,2664.25,10,01,15
201910011535,856,铜仁,2600.37,10,01,15
201910011540,856,铜仁,2637.11,10,01,15
201910011545,856,铜仁,2608.22,10,01,15
201910011550,856,铜仁,2657.02,10,01,15
201910011555,856,铜仁,2595.35,10,01,15
201910011600,856,铜仁,2615.98,10,01,16
201910011605,856,铜仁,2606.85,10,01,16
201910011610,856,铜仁,2584.42,10,01,16
201910011615,856,铜仁,2565.72,10,01,16
201910011620,856,铜仁,2568.28,10,01,16
201910011625,856,铜仁,2581.80,10,01,16
201910011630,856,铜仁,2550.10,10,01,16
201910011635,856,铜仁,2535.95,10,01,16
201910011640,856,铜仁,2602.14,10,01,16
201910011645,856,铜仁,2562.47,10,01,16
201910011650,856,铜仁,2634.24,10,01,16
201910011655,856,铜仁,2521.82,10,01,16
201910011700,856,铜仁,2561.74,10,01,17
201910011705,856,铜仁,2505.42,10,01,17
201910011710,856,铜仁,2412.78,10,01,17
201910011715,856,铜仁,2549.34,10,01,17
201910011720,856,铜仁,2464.48,10,01,17
201910011725,856,铜仁,2529.32,10,01,17
201910011730,856,铜仁,2413.94,10,01,17
201910011735,856,铜仁,2445.55,10,01,17
201910011740,856,铜仁,2519.19,10,01,17
201910011745,856,铜仁,2440.91,10,01,17
201910011750,856,铜仁,2529.04,10,01,17
201910011755,856,铜仁,2427.07,10,01,17
201910011800,856,铜仁,2533.23,10,01,18
201910011805,856,铜仁,2512.92,10,01,18
201910011810,856,铜仁,2486.70,10,01,18
201910011815,856,铜仁,2527.11,10,01,18
201910011820,856,铜仁,2498.87,10,01,18
201910011825,856,铜仁,2531.50,10,01,18
201910011830,856,铜仁,2660.81,10,01,18
201910011835,856,铜仁,2710.19,10,01,18
201910011840,856,铜仁,2638.89,10,01,18
201910011845,856,铜仁,2653.32,10,01,18
201910011850,856,铜仁,2670.13,10,01,18
201910011855,856,铜仁,2713.96,10,01,18
201910011900,856,铜仁,2700.36,10,01,19
201910011905,856,铜仁,2807.26,10,01,19
201910011910,856,铜仁,2783.23,10,01,19
201910011915,856,铜仁,2822.30,10,01,19
201910011920,856,铜仁,2889.81,10,01,19
201910011925,856,铜仁,2972.23,10,01,19
201910011930,856,铜仁,2933.53,10,01,19
201910011935,856,铜仁,3014.58,10,01,19
