201904091400: 0.89,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.49,201904100100: 0.96,201904100200: 0.57,201904100300: 0.35,201904100400: 0.25,201904100500: 0.24,201904100600: 0.48,201904100700: 0.81,201904100800: 0.91,201904100900: 0.95,201904101000: 0.99,201904101100: 0.97,201904101200: 0.88,201904101300: 0.96,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.47,201904100100: 0.93,201904100200: 0.59,201904100300: 0.36,201904100400: 0.25,201904100500: 0.25,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.47,201904100100: 0.92,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.49,201904100700: 0.83,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.85,201904091600: 0.8,201904091700: 0.83,201904091800: 0.85,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.48,201904100100: 0.94,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.25,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.47,201904100100: 0.93,201904100200: 0.59,201904100300: 0.36,201904100400: 0.25,201904100500: 0.25,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.96,201904101000: 0.98,201904101100: 0.97,201904101200: 0.88,201904101300: 0.95,
201904091400: 0.89,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.48,201904100100: 0.94,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.82,201904100800: 0.91,201904100900: 0.96,201904101000: 0.99,201904101100: 0.97,201904101200: 0.88,201904101300: 0.96,
201904091400: 0.91,201904091500: 0.85,201904091600: 0.8,201904091700: 0.83,201904091800: 0.85,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.98,201904101000: 0.97,201904101100: 0.95,201904101200: 0.87,201904101300: 0.94,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.89,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.48,201904100100: 0.95,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.81,201904100800: 0.91,201904100900: 0.96,201904101000: 0.99,201904101100: 0.97,201904101200: 0.88,201904101300: 0.96,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.89,201904092000: 0.97,201904092100: 0.9,201904092200: 0.99,201904092300: 0.78,201904100000: 0.48,201904100100: 0.94,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.96,201904101000: 0.98,201904101100: 0.97,201904101200: 0.88,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.47,201904100100: 0.92,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.48,201904100100: 0.95,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.96,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.78,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.97,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.47,201904100100: 0.93,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.49,201904100700: 0.83,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.82,201904091800: 0.84,201904091900: 0.88,201904092000: 0.97,201904092100: 0.91,201904092200: 0.99,201904092300: 0.78,201904100000: 0.47,201904100100: 0.94,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.96,201904101000: 0.99,201904101100: 0.97,201904101200: 0.88,201904101300: 0.96,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.49,201904100100: 0.96,201904100200: 0.58,201904100300: 0.36,201904100400: 0.25,201904100500: 0.24,201904100600: 0.49,201904100700: 0.81,201904100800: 0.91,201904100900: 0.96,201904101000: 0.99,201904101100: 0.97,201904101200: 0.88,201904101300: 0.95,
201904091400: 0.91,201904091500: 0.85,201904091600: 0.8,201904091700: 0.83,201904091800: 0.85,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.46,201904100100: 0.92,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.97,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.91,201904091500: 0.85,201904091600: 0.8,201904091700: 0.83,201904091800: 0.85,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.98,201904101000: 0.97,201904101100: 0.95,201904101200: 0.87,201904101300: 0.94,
201904091400: 0.91,201904091500: 0.85,201904091600: 0.8,201904091700: 0.83,201904091800: 0.85,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.98,201904092300: 0.79,201904100000: 0.47,201904100100: 0.93,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.97,201904101100: 0.96,201904101200: 0.87,201904101300: 0.94,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.47,201904100100: 0.92,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.49,201904100700: 0.82,201904100800: 0.92,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.47,201904100100: 0.92,201904100200: 0.59,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.98,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904091400: 0.9,201904091500: 0.84,201904091600: 0.79,201904091700: 0.83,201904091800: 0.84,201904091900: 0.89,201904092000: 0.96,201904092100: 0.9,201904092200: 0.99,201904092300: 0.79,201904100000: 0.46,201904100100: 0.91,201904100200: 0.6,201904100300: 0.37,201904100400: 0.26,201904100500: 0.25,201904100600: 0.5,201904100700: 0.83,201904100800: 0.93,201904100900: 0.97,201904101000: 0.97,201904101100: 0.96,201904101200: 0.87,201904101300: 0.95,
201904101400: 0.88,201904101500: 0.85,201904101600: 0.83,201904101700: 0.85,201904101800: 0.86,201904101900: 0.93,201904102000: 0.94,201904102100: 0.9,201904102200: 1.0,201904102300: 0.76,201904110000: 0.48,201904110100: 0.94,201904110200: 0.59,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.95,201904110900: 0.99,201904111000: 0.99,201904111100: 1.0,201904111200: 0.9,201904111300: 0.97,
201904101400: 0.87,201904101500: 0.84,201904101600: 0.82,201904101700: 0.84,201904101800: 0.85,201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 1.0,201904102300: 0.76,201904110000: 0.5,201904110100: 0.96,201904110200: 0.57,201904110300: 0.36,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.84,201904110800: 0.94,201904110900: 0.98,201904111000: 1.0,201904111100: 0.98,201904111200: 0.91,201904111300: 0.98,
201904101500: 0.84,201904101600: 0.82,201904101700: 0.84,201904101800: 0.85,201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 1.0,201904102300: 0.76,201904110000: 0.49,201904110100: 0.95,201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.84,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,
201904101600: 0.82,201904101700: 0.84,201904101800: 0.85,201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 1.0,201904102300: 0.76,201904110000: 0.48,201904110100: 0.93,201904110200: 0.59,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.95,201904110900: 0.99,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,
201904101700: 0.84,201904101800: 0.85,201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 1.0,201904102300: 0.76,201904110000: 0.49,201904110100: 0.95,201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.73,
201904101800: 0.85,201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 0.99,201904102300: 0.75,201904110000: 0.47,201904110100: 0.92,201904110200: 0.59,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.95,201904110900: 0.99,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.72,201904111700: 0.76,
201904101900: 0.92,201904102000: 0.94,201904102100: 0.91,201904102200: 1.0,201904102300: 0.76,201904110000: 0.49,201904110100: 0.95,201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.72,201904111700: 0.76,201904111800: 0.8,
201904102000: 0.95,201904102100: 0.91,201904102200: 0.99,201904102300: 0.75,201904110000: 0.51,201904110100: 0.99,201904110200: 0.56,201904110300: 0.36,201904110400: 0.25,201904110500: 0.23,201904110600: 0.48,201904110700: 0.83,201904110800: 0.92,201904110900: 0.96,201904111000: 0.99,201904111100: 0.97,201904111200: 0.92,201904111300: 0.99,201904111400: 0.83,201904111500: 0.71,201904111600: 0.72,201904111700: 0.75,201904111800: 0.8,201904111900: 0.85,
201904102100: 0.9,201904102200: 1.0,201904102300: 0.76,201904110000: 0.51,201904110100: 0.98,201904110200: 0.57,201904110300: 0.36,201904110400: 0.25,201904110500: 0.24,201904110600: 0.48,201904110700: 0.84,201904110800: 0.93,201904110900: 0.97,201904111000: 1.0,201904111100: 0.99,201904111200: 0.91,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.73,201904111700: 0.76,201904111800: 0.81,201904111900: 0.86,201904112000: 0.99,
201904102200: 1.0,201904102300: 0.76,201904110000: 0.48,201904110100: 0.93,201904110200: 0.59,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.95,201904110900: 0.99,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.73,201904111700: 0.76,201904111800: 0.81,201904111900: 0.86,201904112000: 0.99,201904112100: 0.96,
201904102300: 0.76,201904110000: 0.49,201904110100: 0.95,201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.73,201904111700: 0.76,201904111800: 0.8,201904111900: 0.86,201904112000: 0.99,201904112100: 0.96,201904112200: 0.95,
201904110000: 0.46,201904110100: 0.9,201904110200: 0.61,201904110300: 0.38,201904110400: 0.27,201904110500: 0.25,201904110600: 0.5,201904110700: 0.86,201904110800: 0.96,201904110900: 0.99,201904111000: 0.98,201904111100: 1.0,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.72,201904111700: 0.76,201904111800: 0.8,201904111900: 0.85,201904112000: 1.0,201904112100: 0.97,201904112200: 0.94,201904112300: 0.72,
201904110100: 0.94,201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.72,201904111700: 0.76,201904111800: 0.8,201904111900: 0.86,201904112000: 0.99,201904112100: 0.97,201904112200: 0.94,201904112300: 0.72,201904120000: 0.51,
201904110200: 0.58,201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.94,201904110900: 0.98,201904111000: 0.99,201904111100: 0.99,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.72,201904111700: 0.76,201904111800: 0.8,201904111900: 0.86,201904112000: 0.99,201904112100: 0.96,201904112200: 0.94,201904112300: 0.72,201904120000: 0.51,201904120100: 0.99,
201904110300: 0.37,201904110400: 0.26,201904110500: 0.24,201904110600: 0.49,201904110700: 0.85,201904110800: 0.95,201904110900: 0.99,201904111000: 0.98,201904111100: 1.0,201904111200: 0.9,201904111300: 0.97,201904111400: 0.84,201904111500: 0.72,201904111600: 0.73,201904111700: 0.76,201904111800: 0.81,201904111900: 0.86,201904112000: 0.99,201904112100: 0.96,201904112200: 0.95,201904112300: 0.72,201904120000: 0.5,201904120100: 0.99,201904120200: 0.56,
