201905061600: 0.86,201905061700: 0.89,201905061800: 0.66,201905061900: 0.71,201905062000: 0.69,201905062100: 0.69,201905062200: 0.8,201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.95,201905071200: 0.92,201905071300: 0.79,201905071400: 0.71,201905071500: 0.76,
201905061700: 0.89,201905061800: 0.66,201905061900: 0.71,201905062000: 0.7,201905062100: 0.7,201905062200: 0.81,201905062300: 0.98,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.94,201905071200: 0.91,201905071300: 0.79,201905071400: 0.7,201905071500: 0.75,201905071700: 1.0,
201905061700: 0.89,201905061800: 0.66,201905061900: 0.71,201905062000: 0.7,201905062100: 0.7,201905062200: 0.81,201905062300: 0.98,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.94,201905071200: 0.91,201905071300: 0.79,201905071400: 0.7,201905071500: 0.75,201905071700: 1.0,
201905061700: 0.87,201905061800: 0.64,201905061900: 0.69,201905062000: 0.68,201905062100: 0.68,201905062200: 0.79,201905062300: 0.99,201905070800: 0.8,201905070900: 0.91,201905071000: 0.96,201905071100: 0.97,201905071200: 0.94,201905071300: 0.81,201905071400: 0.72,201905071500: 0.77,201905071700: 0.97,
201905061800: 0.66,201905061900: 0.71,201905062000: 0.7,201905062100: 0.7,201905062200: 0.81,201905062300: 0.98,201905070800: 0.77,201905070900: 0.88,201905071000: 0.94,201905071100: 0.94,201905071200: 0.91,201905071300: 0.79,201905071400: 0.7,201905071500: 0.75,201905071700: 1.0,201905071800: 0.69,
201905061900: 0.69,201905062000: 0.68,201905062100: 0.68,201905062200: 0.79,201905062300: 0.99,201905070800: 0.8,201905070900: 0.91,201905071000: 0.96,201905071100: 0.97,201905071200: 0.93,201905071300: 0.81,201905071400: 0.72,201905071500: 0.77,201905071700: 0.98,201905071800: 0.67,201905071900: 0.58,
201905062000: 0.69,201905062100: 0.69,201905062200: 0.81,201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.95,201905071200: 0.92,201905071300: 0.79,201905071400: 0.7,201905071500: 0.76,201905071700: 1.0,201905071800: 0.69,201905071900: 0.59,201905072000: 0.67,
201905062100: 0.69,201905062200: 0.81,201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.95,201905071200: 0.92,201905071300: 0.79,201905071400: 0.7,201905071500: 0.76,201905071700: 1.0,201905071800: 0.69,201905071900: 0.59,201905072000: 0.67,201905072100: 0.71,
201905062200: 0.82,201905062300: 0.97,201905070800: 0.76,201905070900: 0.87,201905071000: 0.92,201905071100: 0.93,201905071200: 0.9,201905071300: 0.78,201905071400: 0.69,201905071500: 0.75,201905071700: 0.98,201905071800: 0.7,201905071900: 0.61,201905072000: 0.69,201905072100: 0.73,201905072200: 0.75,
201905062300: 0.99,201905070800: 0.78,201905070900: 0.89,201905071000: 0.94,201905071100: 0.94,201905071200: 0.91,201905071300: 0.79,201905071400: 0.7,201905071500: 0.76,201905071700: 1.0,201905071800: 0.69,201905071900: 0.6,201905072000: 0.68,201905072100: 0.72,201905072200: 0.74,201905072300: 0.87,
201905070800: 0.76,201905070900: 0.87,201905071000: 0.92,201905071100: 0.93,201905071200: 0.9,201905071300: 0.78,201905071400: 0.69,201905071500: 0.75,201905071700: 0.98,201905071800: 0.71,201905071900: 0.61,201905072000: 0.69,201905072100: 0.73,201905072200: 0.76,201905072300: 0.89,201905080800: 0.74,
