日期,编码,地区,流量,月份,天,小时
201910281100,853,安顺,0,10,28,11
201910281105,853,安顺,0,10,28,11
201910281110,853,安顺,0,10,28,11
201910281115,853,安顺,0,10,28,11
201910281120,853,安顺,0,10,28,11
201910281125,853,安顺,0,10,28,11
201910281130,853,安顺,0,10,28,11
201910281135,853,安顺,0,10,28,11
201910281140,853,安顺,0,10,28,11
201910281145,853,安顺,0,10,28,11
201910281150,853,安顺,0,10,28,11
201910281155,853,安顺,0,10,28,11
201910281200,853,安顺,0,10,28,12
201910281205,853,安顺,0,10,28,12
201910281210,853,安顺,0,10,28,12
201910281215,853,安顺,0,10,28,12
201910281220,853,安顺,0,10,28,12
201910281225,853,安顺,0,10,28,12
201910281230,853,安顺,0,10,28,12
201910281235,853,安顺,0,10,28,12
201910281240,853,安顺,0,10,28,12
201910281245,853,安顺,0,10,28,12
201910281250,853,安顺,0,10,28,12
201910281255,853,安顺,0,10,28,12
