日期,编码,地区,流量,月份,天,小时
201910281100,854,都匀,0,10,28,11
201910281105,854,都匀,0,10,28,11
201910281110,854,都匀,0,10,28,11
201910281115,854,都匀,0,10,28,11
201910281120,854,都匀,0,10,28,11
201910281125,854,都匀,0,10,28,11
201910281130,854,都匀,0,10,28,11
201910281135,854,都匀,0,10,28,11
201910281140,854,都匀,0,10,28,11
201910281145,854,都匀,0,10,28,11
201910281150,854,都匀,0,10,28,11
201910281155,854,都匀,0,10,28,11
201910281200,854,都匀,0,10,28,12
201910281205,854,都匀,0,10,28,12
201910281210,854,都匀,0,10,28,12
201910281215,854,都匀,0,10,28,12
201910281220,854,都匀,0,10,28,12
201910281225,854,都匀,0,10,28,12
201910281230,854,都匀,0,10,28,12
201910281235,854,都匀,0,10,28,12
201910281240,854,都匀,0,10,28,12
201910281245,854,都匀,0,10,28,12
201910281250,854,都匀,0,10,28,12
201910281255,854,都匀,0,10,28,12
