日期,编码,地区,流量,月份,天,小时
201910281100,850,贵安新区,0,10,28,11
201910281105,850,贵安新区,0,10,28,11
201910281110,850,贵安新区,0,10,28,11
201910281115,850,贵安新区,0,10,28,11
201910281120,850,贵安新区,0,10,28,11
201910281125,850,贵安新区,0,10,28,11
201910281130,850,贵安新区,0,10,28,11
201910281135,850,贵安新区,0,10,28,11
201910281140,850,贵安新区,0,10,28,11
201910281145,850,贵安新区,0,10,28,11
201910281150,850,贵安新区,0,10,28,11
201910281155,850,贵安新区,0,10,28,11
201910281200,850,贵安新区,0,10,28,12
201910281205,850,贵安新区,0,10,28,12
201910281210,850,贵安新区,0,10,28,12
201910281215,850,贵安新区,0,10,28,12
201910281220,850,贵安新区,0,10,28,12
201910281225,850,贵安新区,0,10,28,12
201910281230,850,贵安新区,0,10,28,12
201910281235,850,贵安新区,0,10,28,12
201910281240,850,贵安新区,0,10,28,12
201910281245,850,贵安新区,0,10,28,12
201910281250,850,贵安新区,0,10,28,12
201910281255,850,贵安新区,0,10,28,12
