日期,编码,地区,流量,月份,天,小时
201910281100,859,兴义,0,10,28,11
201910281105,859,兴义,0,10,28,11
201910281110,859,兴义,0,10,28,11
201910281115,859,兴义,0,10,28,11
201910281120,859,兴义,0,10,28,11
201910281125,859,兴义,0,10,28,11
201910281130,859,兴义,0,10,28,11
201910281135,859,兴义,0,10,28,11
201910281140,859,兴义,0,10,28,11
201910281145,859,兴义,0,10,28,11
201910281150,859,兴义,0,10,28,11
201910281155,859,兴义,0,10,28,11
201910281200,859,兴义,0,10,28,12
201910281205,859,兴义,0,10,28,12
201910281210,859,兴义,0,10,28,12
201910281215,859,兴义,0,10,28,12
201910281220,859,兴义,0,10,28,12
201910281225,859,兴义,0,10,28,12
201910281230,859,兴义,0,10,28,12
201910281235,859,兴义,0,10,28,12
201910281240,859,兴义,0,10,28,12
201910281245,859,兴义,0,10,28,12
201910281250,859,兴义,0,10,28,12
201910281255,859,兴义,0,10,28,12
