day,city,flow
201902130000,贵州,230209.1
201902130100,贵州,155044.58
201902130200,贵州,100647.52
201902130300,贵州,66708.41
201902130400,贵州,47069.03
201902130500,贵州,37089.44
201902130600,贵州,40513.44
201902130700,贵州,74018.65
201902130800,贵州,142757.98
201902130900,贵州,190468.27
201902131000,贵州,222682.69
201902131100,贵州,240256.78
201902131200,贵州,258566.83
201902131300,贵州,263376.49
201902131400,贵州,258847.87
201902131500,贵州,257516.89
201902131600,贵州,257446.94
201902131700,贵州,255277.53
201902131800,贵州,259961.1
201902131900,贵州,280196.41
201902132000,贵州,303678.6
201902132100,贵州,316316.32
201902132200,贵州,322814.42
201902132300,贵州,293538.72
201902140000,贵州,227034.52
201902140100,贵州,155406.59
201902140200,贵州,102429.21
201902140300,贵州,68031.54
201902140400,贵州,48919.82
201902140500,贵州,40151.88
201902140600,贵州,45462.14
201902140700,贵州,79822.72
201902140800,贵州,143447.46
201902140900,贵州,188061.21
201902141000,贵州,217179.45
201902141100,贵州,234421.68
201902141200,贵州,250633.43
201902141300,贵州,256071.37
201902141400,贵州,254535.28
201902141500,贵州,254023.83
201902141600,贵州,255796.76
201902141700,贵州,256671.88
201902141800,贵州,265178.36
201902141900,贵州,286995.94
201902142000,贵州,310312.59
201902142100,贵州,322253.57
201902142200,贵州,319067.09
201902142300,贵州,282989.02
201902150000,贵州,218294.81
201902150100,贵州,147454.67
201902150200,贵州,96561.7
201902150300,贵州,64073.74
201902150400,贵州,44828.73
201902150500,贵州,34880.8
201902150600,贵州,38348.7
201902150700,贵州,70961.24
201902150800,贵州,137216.05
201902150900,贵州,185245.72
201902151000,贵州,216467.54
201902151100,贵州,235228.64
201902151200,贵州,252016.69
201902151300,贵州,255714.2
201902151400,贵州,257507.06
201902151500,贵州,260465.66
201902151600,贵州,263737.18
201902151700,贵州,263161.04
201902151800,贵州,268732.08
201902151900,贵州,289686.55
201902152000,贵州,316128.87
201902152100,贵州,327426.21
201902152200,贵州,328884.35
201902152300,贵州,290571.49
201902160000,贵州,225106.56
201902160100,贵州,154696.61
201902160200,贵州,102460.37
201902160300,贵州,67596.43
201902160400,贵州,47482.21
201902160500,贵州,36850.84
201902160600,贵州,39133.35
201902160700,贵州,69985.03
201902160800,贵州,134632.08
201902160900,贵州,183910.46
201902161000,贵州,219053.42
201902161100,贵州,239547.63
201902161200,贵州,255484.96
201902161300,贵州,260587.75
201902161400,贵州,259425.83
201902161500,贵州,260733.71
201902161600,贵州,262928.55
201902161700,贵州,262857.62
201902161800,贵州,268743.14
201902161900,贵州,291735.45
201902162000,贵州,316211.51
201902162100,贵州,327204.78
201902162200,贵州,324693.69
201902162300,贵州,290072.14
201902170000,贵州,225311.57
201902170100,贵州,154974.04
201902170200,贵州,102951.61
201902170300,贵州,68350.08
201902170400,贵州,47971.31
201902170500,贵州,37035.84
201902170600,贵州,38626.8
201902170700,贵州,66612.38
201902170800,贵州,127959.52
201902170900,贵州,180972.74
201902171000,贵州,219528.39
201902171100,贵州,241385.71
201902171200,贵州,257084.37
201902171300,贵州,264325.92
201902171400,贵州,265927.76
201902171500,贵州,270023.96
201902171600,贵州,272230.81
201902171700,贵州,271079.76
201902171800,贵州,278867.62
201902171900,贵州,299476.84
201902172000,贵州,322757.68
201902172100,贵州,332078.26
201902172200,贵州,326726.79
201902172300,贵州,288480.93
201902180000,贵州,223201.66
201902180100,贵州,152586.46
201902180200,贵州,101613.87
