日期,编码,地区,流量,月份,天,小时
201907221830,853,安顺,181484.33,07,22,18
201907221845,853,安顺,182638.66,07,22,18
201907231015,853,安顺,148971.63,07,23,10
201907231240,853,安顺,199964.97,07,23,12
201907231515,853,安顺,186560.86,07,23,15
201907231850,853,安顺,196308.26,07,23,18
201907232150,853,安顺,289215.02,07,23,21
201907241850,853,安顺,168897.90,07,24,18
201907251000,853,安顺,152179.45,07,25,10
201907251115,853,安顺,161288.89,07,25,11
201907251505,853,安顺,173443.28,07,25,15
201907251555,853,安顺,175935.04,07,25,15
201907252035,853,安顺,209540.07,07,25,20
201907252155,853,安顺,255708.91,07,25,21
201907261605,853,安顺,183760.78,07,26,16
201907261615,853,安顺,178854.25,07,26,16
201907261755,853,安顺,183779.38,07,26,17
201907271105,853,安顺,173544.75,07,27,11
201907271305,853,安顺,205987.67,07,27,13
201907271315,853,安顺,195887.36,07,27,13
201907272000,853,安顺,200183.45,07,27,20
201907272055,853,安顺,229969.07,07,27,20
201907272255,853,安顺,247612.10,07,27,22
201907280950,853,安顺,150434.98,07,28,09
201907281810,853,安顺,187634.27,07,28,18
201907281935,853,安顺,189623.84,07,28,19
201907282000,853,安顺,189525.09,07,28,20
201907282005,853,安顺,194633.89,07,28,20
201907282015,853,安顺,205265.91,07,28,20
201907282025,853,安顺,204838.26,07,28,20
201907282040,853,安顺,218715.24,07,28,20
201907282110,853,安顺,234852.33,07,28,21
201907282305,853,安顺,243185.74,07,28,23
201907291255,853,安顺,208592.29,07,29,12
201907291530,853,安顺,184110.79,07,29,15
201907291540,853,安顺,176416.34,07,29,15
201907291630,853,安顺,180658.85,07,29,16
201907291710,853,安顺,182879.71,07,29,17
201907291815,853,安顺,179468.82,07,29,18
201907292000,853,安顺,194987.35,07,29,20
201907292115,853,安顺,245271.46,07,29,21
201907300910,853,安顺,135720.00,07,30,09
201907301150,853,安顺,178794.11,07,30,11
201907301640,853,安顺,181924.44,07,30,16
201907301725,853,安顺,180207.81,07,30,17
201907302000,853,安顺,246027.19,07,30,20
201907302320,853,安顺,194487.17,07,30,23
201907310920,853,安顺,140240.84,07,31,09
201907311225,853,安顺,194405.06,07,31,12
201907311315,853,安顺,215558.42,07,31,13
201907311600,853,安顺,184616.44,07,31,16
201907312110,853,安顺,251913.37,07,31,21
201908011030,853,安顺,192577.92,08,01,10
201908011245,853,安顺,231676.94,08,01,12
201908011805,853,安顺,208629.83,08,01,18
201908011825,853,安顺,217939.09,08,01,18
201908011940,853,安顺,208209.88,08,01,19
201908012015,853,安顺,240492.40,08,01,20
201908012150,853,安顺,301407.11,08,01,21
201908012205,853,安顺,294156.96,08,01,22
201908012300,853,安顺,286735.14,08,01,23
201908021100,853,安顺,193134.46,08,02,11
201908021115,853,安顺,197762.77,08,02,11
201908021140,853,安顺,198141.61,08,02,11
201908021225,853,安顺,228085.52,08,02,12
201908021230,853,安顺,232679.56,08,02,12
201908021330,853,安顺,232319.69,08,02,13
201908021610,853,安顺,209903.27,08,02,16
201908021740,853,安顺,223598.94,08,02,17
201908021900,853,安顺,215043.56,08,02,19
201908021905,853,安顺,222889.85,08,02,19
201908022050,853,安顺,260693.11,08,02,20
201908022140,853,安顺,288908.68,08,02,21
201908031335,853,安顺,209995.99,08,03,13
201908031720,853,安顺,204998.76,08,03,17
201908032330,853,安顺,232429.61,08,03,23
201908041305,853,安顺,225930.11,08,04,13
201908041320,853,安顺,227923.30,08,04,13
201908041430,853,安顺,222758.29,08,04,14
201908041825,853,安顺,209342.79,08,04,18
201908042210,853,安顺,282354.97,08,04,22
201908042340,853,安顺,205415.22,08,04,23
201908042345,853,安顺,202132.21,08,04,23
201908050915,853,安顺,146479.14,08,05,09
201908051450,853,安顺,186261.88,08,05,14
201908051455,853,安顺,188874.45,08,05,14
201908051550,853,安顺,188914.32,08,05,15
201908051625,853,安顺,191879.91,08,05,16
201908051915,853,安顺,191896.27,08,05,19
201908052015,853,安顺,226517.26,08,05,20
201908052145,853,安顺,269595.31,08,05,21
201908052220,853,安顺,262889.42,08,05,22
201908060945,853,安顺,147802.01,08,06,09
201908061150,853,安顺,187324.14,08,06,11
201908061420,853,安顺,187163.43,08,06,14
201908061615,853,安顺,179700.96,08,06,16
201908061850,853,安顺,185080.94,08,06,18
201908062050,853,安顺,251071.43,08,06,20
201908062345,853,安顺,196226.10,08,06,23
201908071100,853,安顺,183901.19,08,07,11
201908071505,853,安顺,192326.98,08,07,15
201908071645,853,安顺,190379.24,08,07,16
201908072130,853,安顺,274855.86,08,07,21
201908081430,853,安顺,188770.11,08,08,14
201908081725,853,安顺,192234.95,08,08,17
201908081755,853,安顺,197411.71,08,08,17
201908081800,853,安顺,189505.70,08,08,18
201908081815,853,安顺,188733.30,08,08,18
201908082040,853,安顺,250517.76,08,08,20
201908091340,853,安顺,208418.44,08,09,13
201910270900,853,安顺,148239.16,10,27,09
201910270905,853,安顺,148865.06,10,27,09
201910270910,853,安顺,157131.26,10,27,09
201910270915,853,安顺,154896.17,10,27,09
201910270920,853,安顺,155502.23,10,27,09
201910270925,853,安顺,150960.96,10,27,09
201910270930,853,安顺,164219.76,10,27,09
201910270935,853,安顺,159364.79,10,27,09
201910270940,853,安顺,163143.16,10,27,09
201910270945,853,安顺,168131.47,10,27,09
201910270950,853,安顺,169849.28,10,27,09
201910270955,853,安顺,173665.09,10,27,09
201910271000,853,安顺,173935.12,10,27,10
201910271005,853,安顺,175569.29,10,27,10
201910271010,853,安顺,172664.92,10,27,10
201910271015,853,安顺,173882.36,10,27,10
201910271020,853,安顺,177299.35,10,27,10
201910271025,853,安顺,174255.18,10,27,10
201910271030,853,安顺,179322.18,10,27,10
201910271035,853,安顺,174507.49,10,27,10
201910271040,853,安顺,180038.31,10,27,10
201910271045,853,安顺,181612.83,10,27,10
201910271050,853,安顺,185894.12,10,27,10
201910271055,853,安顺,186489.57,10,27,10
201910271100,853,安顺,181860.53,10,27,11
201910271105,853,安顺,184449.08,10,27,11
201910271110,853,安顺,187937.14,10,27,11
201910271115,853,安顺,193830.72,10,27,11
201910271120,853,安顺,190702.21,10,27,11
201910271125,853,安顺,192627.99,10,27,11
201910271130,853,安顺,190340.67,10,27,11
201910271135,853,安顺,188871.07,10,27,11
201910271140,853,安顺,190673.31,10,27,11
201910271145,853,安顺,192334.22,10,27,11
201910271150,853,安顺,195634.44,10,27,11
201910271155,853,安顺,190247.55,10,27,11
201910271200,853,安顺,183255.64,10,27,12
201910271205,853,安顺,189008.79,10,27,12
201910271210,853,安顺,188882.08,10,27,12
201910271215,853,安顺,200876.00,10,27,12
201910271220,853,安顺,199117.28,10,27,12
201910271225,853,安顺,203238.92,10,27,12
201910271230,853,安顺,210167.75,10,27,12
201910271235,853,安顺,215331.72,10,27,12
201910271240,853,安顺,210576.17,10,27,12
201910271245,853,安顺,212098.47,10,27,12
201910271250,853,安顺,214784.83,10,27,12
201910271255,853,安顺,211089.87,10,27,12
